"year","intensity_SDA","Reference_key","Scenario_key","Region","Sector","Scope"
2020,9.46140420710983,"IPCC_normative","RECC","North America","Residential","1"
2021,8.92092733706517,"IPCC_normative","RECC","North America","Residential","1"
2022,8.46780943832772,"IPCC_normative","RECC","North America","Residential","1"
2023,8.03290184793536,"IPCC_normative","RECC","North America","Residential","1"
2024,7.61513279220574,"IPCC_normative","RECC","North America","Residential","1"
2025,7.21350043000737,"IPCC_normative","RECC","North America","Residential","1"
2026,6.82709572316882,"IPCC_normative","RECC","North America","Residential","1"
2027,6.45506072196992,"IPCC_normative","RECC","North America","Residential","1"
2028,6.09661232078227,"IPCC_normative","RECC","North America","Residential","1"
2029,5.75102358582579,"IPCC_normative","RECC","North America","Residential","1"
2030,5.41760705656193,"IPCC_normative","RECC","North America","Residential","1"
2031,4.9751344695112,"IPCC_normative","RECC","North America","Residential","1"
2032,4.55237037023759,"IPCC_normative","RECC","North America","Residential","1"
2033,4.1480266708015,"IPCC_normative","RECC","North America","Residential","1"
2034,3.76092513746028,"IPCC_normative","RECC","North America","Residential","1"
2035,3.38997313623752,"IPCC_normative","RECC","North America","Residential","1"
2036,3.03420630989322,"IPCC_normative","RECC","North America","Residential","1"
2037,2.69269812897716,"IPCC_normative","RECC","North America","Residential","1"
2038,2.36460823336163,"IPCC_normative","RECC","North America","Residential","1"
2039,2.04916102817429,"IPCC_normative","RECC","North America","Residential","1"
2040,1.74563956253965,"IPCC_normative","RECC","North America","Residential","1"
2041,1.578636821944,"IPCC_normative","RECC","North America","Residential","1"
2042,1.41767329159247,"IPCC_normative","RECC","North America","Residential","1"
2043,1.26241785942583,"IPCC_normative","RECC","North America","Residential","1"
2044,1.11257689903518,"IPCC_normative","RECC","North America","Residential","1"
2045,0.967872023397436,"IPCC_normative","RECC","North America","Residential","1"
2046,0.828046094832288,"IPCC_normative","RECC","North America","Residential","1"
2047,0.692851272448665,"IPCC_normative","RECC","North America","Residential","1"
2048,0.562063913058816,"IPCC_normative","RECC","North America","Residential","1"
2049,0.43547315440145,"IPCC_normative","RECC","North America","Residential","1"
2050,0.312877517143081,"IPCC_normative","RECC","North America","Residential","1"
2020,20.5150188309501,"IPCC_normative","RECC","North America","Residential","2"
2021,19.2567021516793,"IPCC_normative","RECC","North America","Residential","2"
2022,17.6418058937712,"IPCC_normative","RECC","North America","Residential","2"
2023,16.0647500320808,"IPCC_normative","RECC","North America","Residential","2"
2024,14.5238737228392,"IPCC_normative","RECC","North America","Residential","2"
2025,13.0176089098853,"IPCC_normative","RECC","North America","Residential","2"
2026,11.593444368109,"IPCC_normative","RECC","North America","Residential","2"
2027,10.1867199520844,"IPCC_normative","RECC","North America","Residential","2"
2028,8.79745508263953,"IPCC_normative","RECC","North America","Residential","2"
2029,7.42560399862687,"IPCC_normative","RECC","North America","Residential","2"
2030,6.07106661419976,"IPCC_normative","RECC","North America","Residential","2"
2031,5.44628164442467,"IPCC_normative","RECC","North America","Residential","2"
2032,4.82632768635868,"IPCC_normative","RECC","North America","Residential","2"
