"year","intensity_SDA","Reference_key","Scenario_key","Region","Sector"
2020,11.5054407057975,"IPCC_normative","IMAGE","Africa","Combined"
2021,10.9897611413437,"IPCC_normative","IMAGE","Africa","Combined"
2022,10.4084130161936,"IPCC_normative","IMAGE","Africa","Combined"
2023,9.80401035578579,"IPCC_normative","IMAGE","Africa","Combined"
2024,9.17984747273458,"IPCC_normative","IMAGE","Africa","Combined"
2025,8.53882089277721,"IPCC_normative","IMAGE","Africa","Combined"
2026,7.88349896380581,"IPCC_normative","IMAGE","Africa","Combined"
2027,7.21614042139297,"IPCC_normative","IMAGE","Africa","Combined"
2028,6.53875205902361,"IPCC_normative","IMAGE","Africa","Combined"
2029,5.85310416827092,"IPCC_normative","IMAGE","Africa","Combined"
2030,5.16076500577837,"IPCC_normative","IMAGE","Africa","Combined"
2031,4.7244582754634,"IPCC_normative","IMAGE","Africa","Combined"
2032,4.29038239494764,"IPCC_normative","IMAGE","Africa","Combined"
2033,3.85879661008657,"IPCC_normative","IMAGE","Africa","Combined"
2034,3.42990784794657,"IPCC_normative","IMAGE","Africa","Combined"
2035,3.00386103767281,"IPCC_normative","IMAGE","Africa","Combined"
2036,2.58082048730577,"IPCC_normative","IMAGE","Africa","Combined"
2037,2.16085956571613,"IPCC_normative","IMAGE","Africa","Combined"
2038,1.74404611914711,"IPCC_normative","IMAGE","Africa","Combined"
2039,1.33042572473135,"IPCC_normative","IMAGE","Africa","Combined"
2040,0.920025223079271,"IPCC_normative","IMAGE","Africa","Combined"
2041,0.830841939100845,"IPCC_normative","IMAGE","Africa","Combined"
2042,0.743370289784188,"IPCC_normative","IMAGE","Africa","Combined"
2043,0.657572476300163,"IPCC_normative","IMAGE","Africa","Combined"
2044,0.573420789025065,"IPCC_normative","IMAGE","Africa","Combined"
2045,0.490882135578605,"IPCC_normative","IMAGE","Africa","Combined"
2046,0.409924202268565,"IPCC_normative","IMAGE","Africa","Combined"
2047,0.330508643600367,"IPCC_normative","IMAGE","Africa","Combined"
2048,0.252602664551348,"IPCC_normative","IMAGE","Africa","Combined"
2049,0.176171714867156,"IPCC_normative","IMAGE","Africa","Combined"
2050,0.101179508976237,"IPCC_normative","IMAGE","Africa","Combined"
2020,12.4746894685267,"IPCC_normative","SDS","Africa","Combined"
2021,11.8178790550053,"IPCC_normative","SDS","Africa","Combined"
2022,11.1083718620404,"IPCC_normative","SDS","Africa","Combined"
2023,10.3906076473293,"IPCC_normative","SDS","Africa","Combined"
2024,9.66655371645398,"IPCC_normative","SDS","Africa","Combined"
2025,8.93791284897519,"IPCC_normative","SDS","Africa","Combined"
2026,8.20617878037115,"IPCC_normative","SDS","Africa","Combined"
2027,7.47264024265703,"IPCC_normative","SDS","Africa","Combined"
2028,6.73842795312447,"IPCC_normative","SDS","Africa","Combined"
2029,6.00451916797188,"IPCC_normative","SDS","Africa","Combined"
2030,5.27176349048099,"IPCC_normative","SDS","Africa","Combined"
2031,4.80689206489384,"IPCC_normative","SDS","Africa","Combined"
2032,4.34892373500107,"IPCC_normative","SDS","Africa","Combined"
2033,3.89768138261511,"IPCC_normative","SDS","Africa","Combined"
2034,3.45298246960528,"IPCC_normative","SDS","Africa","Combined"
2035,3.01462352244065,"IPCC_normative","SDS","Africa","Combined"
2036,2.5824568615038,"IPCC_normative","SDS","Africa","Combined"
2037,2.15627540408622,"IPCC_normative","SDS","Africa","Combined"
2038,1.73589483899616,"IPCC_normative","SDS","Africa","Combined"
2039,1.32113350645758,"IPCC_normative","SDS","Africa","Combined"
2040,0.911813119529574,"IPCC_normative","SDS","Africa","Combined"
2041,0.821808972654428,"IPCC_normative","SDS","Africa","Combined"
2042,0.733981475740046,"IPCC_normative","SDS","Africa","Combined"
2043,0.648248744369812,"IPCC_normative","SDS","Africa","Combined"
2044,0.564543115911449,"IPCC_normative","SDS","Africa","Combined"
2045,0.48279542587935,"IPCC_normative","SDS","Africa","Combined"
2046,0.402940675590184,"IPCC_normative","SDS","Africa","Combined"
2047,0.324911023058272,"IPCC_normative","SDS","Africa","Combined"
2048,0.248646801341827,"IPCC_normative","SDS","Africa","Combined"
2049,0.174089090656629,"IPCC_normative","SDS","Africa","Combined"
2050,0.101179508976237,"IPCC_normative","SDS","Africa","Combined"
2020,698.447893569845,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2021,655.176629323348,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2022,604.564833733358,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2023,555.649055617023,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2024,508.333628012913,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2025,462.529410998762,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2026,418.154361812917,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2027,375.131683156727,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2028,333.390486022248,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2029,292.864471971173,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2030,253.491905517614,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2031,229.227068936479,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2032,205.661583981815,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2033,182.752248748377,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2034,160.459347922249,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2035,138.74587728662,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2036,117.579033599396,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2037,96.9271409693884,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2038,76.7613582052115,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2039,57.0549584026664,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2040,37.7831387050386,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2041,33.4556891956131,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2042,29.2697220778435,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2043,25.2178761233037,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2044,21.2935457798629,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2045,17.4904673750505,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2046,13.8028207333172,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2047,10.2250282131599,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2048,6.75199393716054,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2049,3.37890141848479,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2050,0.101179508976237,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined"
2020,489.227730451119,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2021,458.151142766124,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2022,425.966306188157,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2023,394.335558031338,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2024,363.252227083158,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2025,332.707963983249,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2026,302.693881266975,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2027,273.199866973158,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2028,244.215623315059,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2029,215.730205701681,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2030,187.732434040755,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2031,169.80352895303,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2032,152.383044086995,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2033,135.439891521294,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2034,118.94546702038,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2035,102.872773262565,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2036,87.1988453464104,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2037,71.9004333313612,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2038,56.9566988121571,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2039,42.3483170885139,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2040,28.0573421947287,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2041,24.8546074670243,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2042,21.7547063667053,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2043,18.7522543230531,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2044,15.8426010438704,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2045,13.0212648281762,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2046,10.2841031476368,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2047,7.62705555375483,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2048,5.04649787911815,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2049,2.53897481768697,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2050,0.101179508976237,"IPCC_normative","SDS","Asia Pacific Developed","Combined"
2020,2.26788432267884,"Camarasa","-","China","Combined"
2021,2.13363001224801,"Camarasa","-","China","Combined"
2022,1.97660081897338,"Camarasa","-","China","Combined"
2023,1.8248337242385,"Camarasa","-","China","Combined"
