"year","intensity_SDA","Reference_key","Scenario_key","Region","Sector","m_flag"
2020,11.5054407057975,"IPCC_normative","IMAGE","Africa","Combined",0
2021,10.9897611413437,"IPCC_normative","IMAGE","Africa","Combined",0
2022,10.4084130161936,"IPCC_normative","IMAGE","Africa","Combined",0
2023,9.80401035578579,"IPCC_normative","IMAGE","Africa","Combined",0
2024,9.17984747273458,"IPCC_normative","IMAGE","Africa","Combined",0
2025,8.53882089277721,"IPCC_normative","IMAGE","Africa","Combined",0
2026,7.88349896380581,"IPCC_normative","IMAGE","Africa","Combined",0
2027,7.21614042139297,"IPCC_normative","IMAGE","Africa","Combined",0
2028,6.53875205902361,"IPCC_normative","IMAGE","Africa","Combined",0
2029,5.85310416827092,"IPCC_normative","IMAGE","Africa","Combined",0
2030,5.16076500577837,"IPCC_normative","IMAGE","Africa","Combined",0
2031,4.7244582754634,"IPCC_normative","IMAGE","Africa","Combined",0
2032,4.29038239494764,"IPCC_normative","IMAGE","Africa","Combined",0
2033,3.85879661008657,"IPCC_normative","IMAGE","Africa","Combined",0
2034,3.42990784794657,"IPCC_normative","IMAGE","Africa","Combined",0
2035,3.00386103767281,"IPCC_normative","IMAGE","Africa","Combined",0
2036,2.58082048730577,"IPCC_normative","IMAGE","Africa","Combined",0
2037,2.16085956571613,"IPCC_normative","IMAGE","Africa","Combined",0
2038,1.74404611914711,"IPCC_normative","IMAGE","Africa","Combined",0
2039,1.33042572473135,"IPCC_normative","IMAGE","Africa","Combined",0
2040,0.920025223079271,"IPCC_normative","IMAGE","Africa","Combined",0
2041,0.830841939100845,"IPCC_normative","IMAGE","Africa","Combined",0
2042,0.743370289784188,"IPCC_normative","IMAGE","Africa","Combined",0
2043,0.657572476300163,"IPCC_normative","IMAGE","Africa","Combined",0
2044,0.573420789025065,"IPCC_normative","IMAGE","Africa","Combined",0
2045,0.490882135578605,"IPCC_normative","IMAGE","Africa","Combined",0
2046,0.409924202268565,"IPCC_normative","IMAGE","Africa","Combined",0
2047,0.330508643600367,"IPCC_normative","IMAGE","Africa","Combined",0
2048,0.252602664551348,"IPCC_normative","IMAGE","Africa","Combined",0
2049,0.176171714867156,"IPCC_normative","IMAGE","Africa","Combined",0
2050,0.101179508976237,"IPCC_normative","IMAGE","Africa","Combined",0
2020,16.1545562442305,"IPCC_normative","IMAGE","Africa","Combined",1
2021,15.1598499002708,"IPCC_normative","IMAGE","Africa","Combined",1
2022,13.9964017082844,"IPCC_normative","IMAGE","Africa","Combined",1
2023,12.8719410376909,"IPCC_normative","IMAGE","Africa","Combined",1
2024,11.7842687261803,"IPCC_normative","IMAGE","Africa","Combined",1
2025,10.7313356529856,"IPCC_normative","IMAGE","Africa","Combined",1
2026,9.71125584465747,"IPCC_normative","IMAGE","Africa","Combined",1
2027,8.72226390881598,"IPCC_normative","IMAGE","Africa","Combined",1
2028,7.7627302710277,"IPCC_normative","IMAGE","Africa","Combined",1
2029,6.83113088344413,"IPCC_normative","IMAGE","Africa","Combined",1
2030,5.92604658994558,"IPCC_normative","IMAGE","Africa","Combined",1
2031,5.36825408485707,"IPCC_normative","IMAGE","Africa","Combined",1
2032,4.82653805711728,"IPCC_normative","IMAGE","Africa","Combined",1
2033,4.29990539478537,"IPCC_normative","IMAGE","Africa","Combined",1
2034,3.78744313459594,"IPCC_normative","IMAGE","Africa","Combined",1
2035,3.28830063513935,"IPCC_normative","IMAGE","Africa","Combined",1
2036,2.80172382570423,"IPCC_normative","IMAGE","Africa","Combined",1
2037,2.3269845507706,"IPCC_normative","IMAGE","Africa","Combined",1
2038,1.86341981801464,"IPCC_normative","IMAGE","Africa","Combined",1
2039,1.41041523768776,"IPCC_normative","IMAGE","Africa","Combined",1
2040,0.967400649445644,"IPCC_normative","IMAGE","Africa","Combined",1
2041,0.867922588077485,"IPCC_normative","IMAGE","Africa","Combined",1
2042,0.771696879858453,"IPCC_normative","IMAGE","Africa","Combined",1
2043,0.678554307162428,"IPCC_normative","IMAGE","Africa","Combined",1
2044,0.588343023614592,"IPCC_normative","IMAGE","Africa","Combined",1
2045,0.500919041863255,"IPCC_normative","IMAGE","Africa","Combined",1
2046,0.416148569525813,"IPCC_normative","IMAGE","Africa","Combined",1
2047,0.333903389516772,"IPCC_normative","IMAGE","Africa","Combined",1
2048,0.254066359393351,"IPCC_normative","IMAGE","Africa","Combined",1
2049,0.176526759256491,"IPCC_normative","IMAGE","Africa","Combined",1
2050,0.101179508976237,"IPCC_normative","IMAGE","Africa","Combined",1
2020,11.5054407057975,"IPCC_normative","IMAGE","Africa","Combined",2
2021,10.9897611413437,"IPCC_normative","IMAGE","Africa","Combined",2
