"year","intensity_SDA","Reference_key","Scenario_key","Region","Sector","m_flag","abs_emissions"
2020,16.1545562442305,"IPCC_normative","IMAGE","Africa","Combined",0,2.45e+08
2021,14.960524895903,"IPCC_normative","IMAGE","Africa","Combined",0,237922712.945341
2022,13.8710721391298,"IPCC_normative","IMAGE","Africa","Combined",0,230824812.514688
2023,12.8729377062589,"IPCC_normative","IMAGE","Africa","Combined",0,223707198.753137
2024,11.9550172462534,"IPCC_normative","IMAGE","Africa","Combined",0,216570716.423928
2025,11.1079459574089,"IPCC_normative","IMAGE","Africa","Combined",0,209416253.810704
2026,10.2068846473184,"IPCC_normative","IMAGE","Africa","Combined",0,199954911.617896
2027,9.37148691125863,"IPCC_normative","IMAGE","Africa","Combined",0,190499524.954404
2028,8.59484547581423,"IPCC_normative","IMAGE","Africa","Combined",0,181049846.958328
2029,7.87098412143439,"IPCC_normative","IMAGE","Africa","Combined",0,171605557.110749
2030,7.19470951375339,"IPCC_normative","IMAGE","Africa","Combined",0,162166354.203497
2031,6.60525338079588,"IPCC_normative","IMAGE","Africa","Combined",0,153750703.119898
2032,6.05288242447098,"IPCC_normative","IMAGE","Africa","Combined",0,145356339.694216
2033,5.53423703571037,"IPCC_normative","IMAGE","Africa","Combined",0,136982143.785928
2034,5.04634816222628,"IPCC_normative","IMAGE","Africa","Combined",0,128627041.153407
2035,4.58658695485434,"IPCC_normative","IMAGE","Africa","Combined",0,120290122.771487
2036,4.19159455378149,"IPCC_normative","IMAGE","Africa","Combined",0,113021596.66889
2037,3.82000886723776,"IPCC_normative","IMAGE","Africa","Combined",0,105818956.966756
2038,3.46988726939719,"IPCC_normative","IMAGE","Africa","Combined",0,98678736.0994789
2039,3.13948875879454,"IPCC_normative","IMAGE","Africa","Combined",0,91597619.3769642
2040,2.82725156688438,"IPCC_normative","IMAGE","Africa","Combined",0,84572518.5374015
2041,2.56504999957958,"IPCC_normative","IMAGE","Africa","Combined",0,78620578.0221139
2042,2.31780345039224,"IPCC_normative","IMAGE","Africa","Combined",0,72751369.2211416
2043,2.08434417292483,"IPCC_normative","IMAGE","Africa","Combined",0,66960459.7710185
2044,1.86362144438937,"IPCC_normative","IMAGE","Africa","Combined",0,61243818.802679
2045,1.6546822998624,"IPCC_normative","IMAGE","Africa","Combined",0,55597601.05576
2046,1.50897354383898,"IPCC_normative","IMAGE","Africa","Combined",0,51814429.3606892
2047,1.37123749051533,"IPCC_normative","IMAGE","Africa","Combined",0,48096017.8560763
2048,1.24088347179009,"IPCC_normative","IMAGE","Africa","Combined",0,44438849.794006
2049,1.11737520968729,"IPCC_normative","IMAGE","Africa","Combined",0,40839654.2098268
2050,1.00022740966206,"IPCC_normative","IMAGE","Africa","Combined",0,37295479.4240691
2020,16.1545562442305,"IPCC_normative","IMAGE","Africa","Combined",1,2.45e+08
2021,15.4108095019779,"IPCC_normative","IMAGE","Africa","Combined",1,245083754.140106
2022,14.6886573065991,"IPCC_normative","IMAGE","Africa","Combined",1,244430029.263834
2023,13.9871167824581,"IPCC_normative","IMAGE","Africa","Combined",1,243069514.157235
2024,13.3052712150371,"IPCC_normative","IMAGE","Africa","Combined",1,241031197.186965
2025,12.6424032301191,"IPCC_normative","IMAGE","Africa","Combined",1,238345121.030231
2026,11.8555191341977,"IPCC_normative","IMAGE","Africa","Combined",1,232251990.942761
2027,11.0920005990797,"IPCC_normative","IMAGE","Africa","Combined",1,225473381.644498
2028,10.3508974592206,"IPCC_normative","IMAGE","Africa","Combined",1,218040964.918651
2029,9.63119547213421,"IPCC_normative","IMAGE","Africa","Combined",1,209982213.042112
2030,8.93194874283173,"IPCC_normative","IMAGE","Africa","Combined",1,201323147.34718
2031,8.31679539125647,"IPCC_normative","IMAGE","Africa","Combined",1,193590323.54879
2032,7.7184185311471,"IPCC_normative","IMAGE","Africa","Combined",1,185353189.974379
2033,7.13612682980734,"IPCC_normative","IMAGE","Africa","Combined",1,176631746.195131
