"year","intensity_SDA","Reference_key","Scenario_key","Region","Sector","Scope"
2020,3.87761124504063,"IPCC_normative","IMAGE","Africa","Combined","1"
2021,3.74178612117869,"IPCC_normative","IMAGE","Africa","Combined","1"
2022,3.62066659453505,"IPCC_normative","IMAGE","Africa","Combined","1"
2023,3.49418928799697,"IPCC_normative","IMAGE","Africa","Combined","1"
2024,3.36321636528418,"IPCC_normative","IMAGE","Africa","Combined","1"
2025,3.2284971329015,"IPCC_normative","IMAGE","Africa","Combined","1"
2026,3.09070037246668,"IPCC_normative","IMAGE","Africa","Combined","1"
2027,2.95040496194314,"IPCC_normative","IMAGE","Africa","Combined","1"
2028,2.80812900840523,"IPCC_normative","IMAGE","Africa","Combined","1"
2029,2.66432407587013,"IPCC_normative","IMAGE","Africa","Combined","1"
2030,2.51938901089136,"IPCC_normative","IMAGE","Africa","Combined","1"
2031,2.34838225276451,"IPCC_normative","IMAGE","Africa","Combined","1"
2032,2.18076235044188,"IPCC_normative","IMAGE","Africa","Combined","1"
2033,2.01655021859059,"IPCC_normative","IMAGE","Africa","Combined","1"
2034,1.85574688593818,"IPCC_normative","IMAGE","Africa","Combined","1"
2035,1.69832824694458,"IPCC_normative","IMAGE","Africa","Combined","1"
2036,1.54428516680482,"IPCC_normative","IMAGE","Africa","Combined","1"
2037,1.39356883283329,"IPCC_normative","IMAGE","Africa","Combined","1"
2038,1.24613221778696,"IPCC_normative","IMAGE","Africa","Combined","1"
2039,1.10192171750988,"IPCC_normative","IMAGE","Africa","Combined","1"
2040,0.960878628586513,"IPCC_normative","IMAGE","Africa","Combined","1"
2041,0.886984954464593,"IPCC_normative","IMAGE","Africa","Combined","1"
2042,0.814649407338211,"IPCC_normative","IMAGE","Africa","Combined","1"
2043,0.74383570024841,"IPCC_normative","IMAGE","Africa","Combined","1"
2044,0.674516617535932,"IPCC_normative","IMAGE","Africa","Combined","1"
2045,0.606660435774215,"IPCC_normative","IMAGE","Africa","Combined","1"
2046,0.540236411607435,"IPCC_normative","IMAGE","Africa","Combined","1"
2047,0.47520837315562,"IPCC_normative","IMAGE","Africa","Combined","1"
2048,0.411545459699463,"IPCC_normative","IMAGE","Africa","Combined","1"
2049,0.349215502685038,"IPCC_normative","IMAGE","Africa","Combined","1"
2050,0.288184438040346,"IPCC_normative","IMAGE","Africa","Combined","1"
2020,3.93154944197518,"IPCC_normative","SDS","Africa","Combined","1"
2021,3.7648110735213,"IPCC_normative","SDS","Africa","Combined","1"
2022,3.61749338227093,"IPCC_normative","SDS","Africa","Combined","1"
2023,3.46878240512658,"IPCC_normative","SDS","Africa","Combined","1"
2024,3.31915197615622,"IPCC_normative","SDS","Africa","Combined","1"
2025,3.16900381521106,"IPCC_normative","SDS","Africa","Combined","1"
2026,3.01869487225804,"IPCC_normative","SDS","Africa","Combined","1"
2027,2.86852416604742,"IPCC_normative","SDS","Africa","Combined","1"
2028,2.71875788848953,"IPCC_normative","SDS","Africa","Combined","1"
2029,2.56962083562984,"IPCC_normative","SDS","Africa","Combined","1"
2030,2.42130731112824,"IPCC_normative","SDS","Africa","Combined","1"
2031,2.24990010548165,"IPCC_normative","SDS","Africa","Combined","1"
2032,2.08346593686972,"IPCC_normative","SDS","Africa","Combined","1"
2033,1.92183278618916,"IPCC_normative","SDS","Africa","Combined","1"
2034,1.76483182700362,"IPCC_normative","SDS","Africa","Combined","1"
2035,1.61228971516502,"IPCC_normative","SDS","Africa","Combined","1"
2036,1.46406388156024,"IPCC_normative","SDS","Africa","Combined","1"
2037,1.31998908841394,"IPCC_normative","SDS","Africa","Combined","1"
2038,1.17991467156636,"IPCC_normative","SDS","Africa","Combined","1"
2039,1.04369512320904,"IPCC_normative","SDS","Africa","Combined","1"
2040,0.911190148238311,"IPCC_normative","SDS","Africa","Combined","1"
2041,0.841437746292501,"IPCC_normative","SDS","Africa","Combined","1"
2042,0.773500937357321,"IPCC_normative","SDS","Africa","Combined","1"
2043,0.70731088167167,"IPCC_normative","SDS","Africa","Combined","1"
2044,0.642810526224113,"IPCC_normative","SDS","Africa","Combined","1"
2045,0.579941702438623,"IPCC_normative","SDS","Africa","Combined","1"
2046,0.518649859790061,"IPCC_normative","SDS","Africa","Combined","1"
2047,0.458877922478045,"IPCC_normative","SDS","Africa","Combined","1"
2048,0.400575867592648,"IPCC_normative","SDS","Africa","Combined","1"
2049,0.343694440654057,"IPCC_normative","SDS","Africa","Combined","1"
2050,0.288184438040346,"IPCC_normative","SDS","Africa","Combined","1"
2020,194.013303769401,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2021,183.41382480416,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2022,172.535636644018,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2023,162.075363667678,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2024,152.009563896425,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2025,142.316093298449,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2026,132.974907007092,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2027,123.966909179307,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2028,115.27475670612,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2029,106.882069071675,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2030,98.7736324628453,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2031,90.2772831548514,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2032,82.1381938208225,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2033,74.3342950094106,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2034,66.8452983579429,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
2035,59.652324061775,"IPCC_normative","IMAGE","Asia Pacific Developed","Combined","1"
