"year","Country","Intensity_kgCO2/m2","abs_emissions_tCO2","Method"
2020,"Australia",67364.36331,139621171490.463,"SDA"
2021,"Australia",63399.6310436089,133683736599.975,"SDA"
2022,"Australia",58304.7722438043,125045780808.69,"SDA"
2023,"Australia",53620.066157281,116941988423.285,"SDA"
2024,"Australia",49082.9028528107,108832677281.392,"SDA"
2025,"Australia",44685.3144805649,100714068342.86,"SDA"
2026,"Australia",40419.9546223123,92582762682.5047,"SDA"
2027,"Australia",36279.9266170537,84435444694.6996,"SDA"
2028,"Australia",32258.8539429017,76269121655.6142,"SDA"
2029,"Australia",28252.2893832317,67844456037.1962,"SDA"
2030,"Australia",24466.0977195613,59663386186.6772,"SDA"
2031,"Australia",22160.3542006332,54868857922.9455,"SDA"
2032,"Australia",19847.8951329843,49887895499.1209,"SDA"
2033,"Australia",17664.331089216,45064727001.1648,"SDA"
2034,"Australia",15483.4098962875,40086124579.9101,"SDA"
2035,"Australia",13407.7092659079,35220925001.7913,"SDA"
2036,"Australia",11343.1217771122,30229427895.8847,"SDA"
2037,"Australia",9363.12383442139,25310649827.6964,"SDA"
2038,"Australia",7401.91916508504,20293064055.267,"SDA"
2039,"Australia",5507.22743629427,15310666742.8064,"SDA"
2040,"Australia",3638.30570233113,10255493183.125,"SDA"
2041,"Australia",3224.721107423,9214794215.97255,"SDA"
2042,"Australia",2815.52432344714,8155114400.03262,"SDA"
2043,"Australia",2427.5577607698,7126234366.8816,"SDA"
2044,"Australia",2050.90360854306,6100974891.17056,"SDA"
2045,"Australia",1680.20612826493,5064364070.96373,"SDA"
2046,"Australia",1325.62142003678,4047960849.76368,"SDA"
2047,"Australia",977.891990770861,3024888086.95177,"SDA"
2048,"Australia",643.332940102732,2015598975.25599,"SDA"
2049,"Australia",316.432355814243,1004034148.96452,"SDA"
2050,"Australia",0.101223265431034,325235.218543291,"SDA"
2020,"Brazil",10643.97324,55474958562.2951,"SDA"
2021,"Brazil",10017.5267902526,53286365732.4232,"SDA"
2022,"Brazil",9212.51500316245,50003425649.6989,"SDA"
2023,"Brazil",8472.30928463519,46913204330.8354,"SDA"
2024,"Brazil",7755.41602349284,43800397244.5777,"SDA"
2025,"Brazil",7060.57626177767,40663308093.7332,"SDA"
2026,"Brazil",6386.62923066342,37500391865.6966,"SDA"
2027,"Brazil",5732.48522509363,34310135501.0906,"SDA"
2028,"Brazil",5097.13672445162,31091154693.1801,"SDA"
2029,"Brazil",4464.08057451556,27745410204.4009,"SDA"
2030,"Brazil",3864.05653922298,24466416216.3877,"SDA"
2031,"Brazil",3501.52600315642,22582544861.427,"SDA"
2032,"Brazil",3136.1465334266,20597902875.9277,"SDA"
2033,"Brazil",2791.13308709375,18665619168.332,"SDA"
2034,"Brazil",2446.53722369326,16656143757.9092,"SDA"
2035,"Brazil",2118.56670682827,14680897456.8542,"SDA"
2036,"Brazil",1792.3521188944,12640088201.8031,"SDA"
2037,"Brazil",1479.5030793211,10616682165.867,"SDA"
2038,"Brazil",1169.62346582276,8538791176.47514,"SDA"
2039,"Brazil",870.253211511228,6462578631.43977,"SDA"
2040,"Brazil",574.954738264618,4342476954.53278,"SDA"
2041,"Brazil",509.606416173191,3913969287.24442,"SDA"
2042,"Brazil",444.951388961721,3474641076.48903,"SDA"
2043,"Brazil",383.650837126191,3045690329.79306,"SDA"
2044,"Brazil",324.137699645205,2615590995.85906,"SDA"
2045,"Brazil",265.565744504864,2177923466.89665,"SDA"
2046,"Brazil",209.539683555629,1746255391.58644,"SDA"
2047,"Brazil",154.596789105258,1309044901.80739,"SDA"
2048,"Brazil",101.734876764159,875143407.644817,"SDA"
2049,"Brazil",50.0830383326413,437621843.741013,"SDA"
2050,"Brazil",0.101223265431034,898322.459560914,"SDA"
2020,"Canada",23648.11916,79274594818.1581,"SDA"
2021,"Canada",22256.3120378608,75999239250.8352,"SDA"
2022,"Canada",20467.7774566049,71163926975.3607,"SDA"
2023,"Canada",18823.2257294623,66609824802.9175,"SDA"
2024,"Canada",17230.4684441845,62033324164.4839,"SDA"
2025,"Canada",15686.7085114868,57435273915.3828,"SDA"
2026,"Canada",14189.3669937439,52816554179.2144,"SDA"
2027,"Canada",12736.0228392294,48177923518.7776,"SDA"
2028,"Canada",11324.4375894596,43520169583.3667,"SDA"
2029,"Canada",9917.94536885502,38709091069.8759,"SDA"
2030,"Canada",8588.81437861109,34033320812.1208,"SDA"
2031,"Canada",7779.39017645897,31286981797.6387,"SDA"
2032,"Canada",6967.60850149138,28432851288.7477,"SDA"
2033,"Canada",6201.07502998155,25668349722.9837,"SDA"
2034,"Canada",5435.46932316666,22816131002.4726,"SDA"
2035,"Canada",4706.80097265009,20030337226.79,"SDA"
2036,"Canada",3982.03385645817,17175600535.7509,"SDA"
2037,"Canada",3286.9616414139,14366027320.9712,"SDA"
