year,Scenario, Sector_Scope_1_emissions ,Sector_Scope_2_emissions,Sector_DH_emissions,Sector_activity,Sector,Sector_Scope_1_2_emissions
2020,CRREM_1.5C,2860000,5178912,484038.5831,2.441E+11,Combined,8522950.583
2021,CRREM_1.5C,2802815.437,4833482.981,474555.4053,2.48163E+11,Combined,8110853.823
2022,CRREM_1.5C,2709324.837,4420046.914,464761.846,2.52555E+11,Combined,7594133.596
2023,CRREM_1.5C,2612614.632,4021262.157,454262.4296,2.57255E+11,Combined,7088139.218
2024,CRREM_1.5C,2512028.694,3639308.783,442672.8272,2.62243E+11,Combined,6594010.304
2025,CRREM_1.5C,2430000,3275921.25,429419.3111,2.675E+11,Combined,6135340.561
2026,CRREM_1.5C,2298214.912,2930567.955,414667.9835,2.73005E+11,Combined,5643450.851
2027,CRREM_1.5C,2185048.103,2604658.363,397594.377,2.78737E+11,Combined,5187300.843
2028,CRREM_1.5C,2068158.15,2297664.81,378158.5575,2.84677E+11,Combined,4743981.517
2029,CRREM_1.5C,1948101.997,2009255.431,356218.7044,2.90805E+11,Combined,4313576.133
2030,CRREM_1.5C,1809000,1738248,331815.6032,2.971E+11,Combined,3879063.603
2031,CRREM_1.5C,1701497.078,1486509.737,319665.0943,3.03543E+11,Combined,3507671.909
2032,CRREM_1.5C,1576725.96,1251382.335,302387.7564,3.10112E+11,Combined,3130496.051
2033,CRREM_1.5C,1452343.941,1033387.855,279065.4906,3.16789E+11,Combined,2764797.286
2034,CRREM_1.5C,1329373.36,832413.78,248707.7474,3.23553E+11,Combined,2410494.887
2035,CRREM_1.5C,1210000,648862.5,210016.8008,3.30384E+11,Combined,2068879.301
2036,CRREM_1.5C,1091946.602,481995.9094,161240.0532,3.37261E+11,Combined,1735182.565
2037,CRREM_1.5C,979504.5853,333219.8004,104144.8578,3.44165E+11,Combined,1416869.244
2038,CRREM_1.5C,872563.3621,202790.3063,63416.18217,3.51075E+11,Combined,1138769.851
2039,CRREM_1.5C,771885.8719,91435.79815,47638.35403,3.57972E+11,Combined,910960.0241
2040,CRREM_1.5C,685000,0,39245.2462,3.64835E+11,Combined,724245.2462
2041,CRREM_1.5C,591923.7137,0,30373.81123,3.71644E+11,Combined,622297.5249
2042,CRREM_1.5C,513516.4261,0,31333.36031,3.78379E+11,Combined,544849.7864
2043,CRREM_1.5C,443043.7088,0,32322.41122,3.85019E+11,Combined,475366.12
2044,CRREM_1.5C,380345.3445,0,33327.57662,3.91546E+11,Combined,413672.9212
2045,CRREM_1.5C,320000,0,34334.98706,3.97938E+11,Combined,354334.9871
2046,CRREM_1.5C,276349.0677,0,35330.31069,4.04175E+11,Combined,311679.3784
2047,CRREM_1.5C,233265.8768,0,36298.80996,4.10237E+11,Combined,269564.6867
2048,CRREM_1.5C,194325.4471,0,37225.42391,4.16105E+11,Combined,231550.871
2049,CRREM_1.5C,157719.6121,0,38094.86277,4.21757E+11,Combined,195814.4749
2050,CRREM_1.5C,122000,0,38891.70112,4.27175E+11,Combined,160891.7011
