"Reference_key","Scenario_key","Region","Sector","Year","Activity_millions_m2"
"IPCC_normative","IMAGE","North America","Combined",2020,26995
"IPCC_normative","IMAGE","North America","Combined",2030,25356
"IPCC_normative","IMAGE","North America","Combined",2040,23487
"IPCC_normative","IMAGE","North America","Combined",2050,20628
"IPCC_normative","IMAGE","Europe and Eurasia","Combined",2020,28540
"IPCC_normative","IMAGE","Europe and Eurasia","Combined",2030,28711
"IPCC_normative","IMAGE","Europe and Eurasia","Combined",2040,28410
"IPCC_normative","IMAGE","Europe and Eurasia","Combined",2050,27181
"IPCC_normative","IMAGE","Africa","Combined",2020,15166
"IPCC_normative","IMAGE","Africa","Combined",2030,20262
"IPCC_normative","IMAGE","Africa","Combined",2040,27642
"IPCC_normative","IMAGE","Africa","Combined",2050,37287
"IPCC_normative","IMAGE","Asia Pacific Developed","Combined",2020,902
"IPCC_normative","IMAGE","Asia Pacific Developed","Combined",2030,1004
"IPCC_normative","IMAGE","Asia Pacific Developed","Combined",2040,1088
"IPCC_normative","IMAGE","Asia Pacific Developed","Combined",2050,1152
"IPCC_normative","IMAGE","Latin America and Caribbean","Combined",2020,9809
"IPCC_normative","IMAGE","Latin America and Caribbean","Combined",2030,11273
"IPCC_normative","IMAGE","Latin America and Caribbean","Combined",2040,13292
"IPCC_normative","IMAGE","Latin America and Caribbean","Combined",2050,15190
"IPCC_normative","IMAGE","Southeast Asia and Developing Pacific","Combined",2020,9627
"IPCC_normative","IMAGE","Southeast Asia and Developing Pacific","Combined",2030,12010
"IPCC_normative","IMAGE","Southeast Asia and Developing Pacific","Combined",2040,14088
"IPCC_normative","IMAGE","Southeast Asia and Developing Pacific","Combined",2050,16492
"IPCC_normative","IMAGE","Eastern Asia","Combined",2020,18284
"IPCC_normative","IMAGE","Eastern Asia","Combined",2030,20826
"IPCC_normative","IMAGE","Eastern Asia","Combined",2040,23522
"IPCC_normative","IMAGE","Eastern Asia","Combined",2050,26481
"IPCC_normative","IMAGE","Middle East","Combined",2020,5947
"IPCC_normative","IMAGE","Middle East","Combined",2030,7002
"IPCC_normative","IMAGE","Middle East","Combined",2040,8576
"IPCC_normative","IMAGE","Middle East","Combined",2050,10096
"IPCC_normative","IMAGE","Southern Asia","Combined",2020,17176
"IPCC_normative","IMAGE","Southern Asia","Combined",2030,20804
"IPCC_normative","IMAGE","Southern Asia","Combined",2040,25337
"IPCC_normative","IMAGE","Southern Asia","Combined",2050,29712
"IPCC_normative","RECC","North America","Residential",2020,32659
"IPCC_normative","RECC","North America","Residential",2030,30943
"IPCC_normative","RECC","North America","Residential",2040,28436
"IPCC_normative","RECC","North America","Residential",2050,24013
"IPCC_normative","RECC","Europe and Eurasia","Residential",2020,26559
"IPCC_normative","RECC","Europe and Eurasia","Residential",2030,26177
"IPCC_normative","RECC","Europe and Eurasia","Residential",2040,24974
"IPCC_normative","RECC","Europe and Eurasia","Residential",2050,23878
