"year","Scenario","Sector_Scope_1_emissions","Sector_Scope_2_emissions","Sector_activity","Sector","Sector_Scope_1_2_emissions"
2014,"ETP_B2DS",2890615.1779,6074201.713,2.2059e+11,"Combined",8964816.8909
2014,"SBTi_1.5C",2890616,6074201.713,2.18143e+11,"Combined",8964817.713
2015,"ETP_B2DS",2814606.8725,5911347.986,224454727273,"Combined",8725954.8585
2015,"SBTi_1.5C",2913892,5945655.299,222048400000,"Combined",8859547.299
2016,"ETP_B2DS",2738598.5682,5747618.194,228318454545,"Combined",8486216.7622
2016,"SBTi_1.5C",2937169,5813107.837,226953800000,"Combined",8750276.837
2017,"ETP_B2DS",2662590.2628,5583055.787,232182181818,"Combined",8245646.0498
2017,"SBTi_1.5C",2960446,5676757.779,230859200000,"Combined",8637203.779
2018,"ETP_B2DS",2586581.9584,5417701.394,236046909091,"Combined",8004283.3524
2018,"SBTi_1.5C",2983723,5536790.669,235764600000,"Combined",8520513.669
2019,"ETP_B2DS",2510573.653,5251593.04,239910636364,"Combined",7762166.693
2019,"SBTi_1.5C",3007000,5590000,2.3967e+11,"Combined",8597000
2020,"ETP_B2DS",2434565.3476,5084766.354,243774363636,"Combined",7519331.7016
2020,"SBTi_1.5C",2860000,5110000,2.42825e+11,"Combined",7970000
2021,"ETP_B2DS",2358557.0432,4917254.755,247639090909,"Combined",7275811.7982
2021,"SBTi_1.5C",2789182,4914545.455,249342181818,"Combined",7703727.455
2022,"ETP_B2DS",2282548.7378,4749089.621,251502818182,"Combined",7031638.3588
2022,"SBTi_1.5C",2680273,4572272.727,255178272727,"Combined",7252545.727
2023,"ETP_B2DS",2206540.4334,4580300.442,255366545455,"Combined",6786840.8754
2023,"SBTi_1.5C",2571363,4226969.697,260014363636,"Combined",6798332.697
2024,"ETP_B2DS",2130532.128,4410914.962,259231272727,"Combined",6541447.09
2024,"SBTi_1.5C",2462455,3878636.363,264850454545,"Combined",6341091.363
2025,"ETP_B2DS",2054523.8226,4240959.299,2.63095e+11,"Combined",6295483.1216
2025,"SBTi_1.5C",2353545,3527272.727,269686545455,"Combined",5880817.727
2026,"ETP_B2DS",1944000.9478,4032597.663,267064600000,"Combined",5976598.6108
2026,"SBTi_1.5C",2244637,3172878.788,274522636364,"Combined",5417515.788
2027,"ETP_B2DS",1833478.0731,3824425.555,271035200000,"Combined",5657903.6281
2027,"SBTi_1.5C",2135727,2815454.546,279358727273,"Combined",4951181.546
2028,"ETP_B2DS",1722955.1984,3616433.16,275004800000,"Combined",5339388.3584
2028,"SBTi_1.5C",2026818,2455000,284194818182,"Combined",4481818
2029,"ETP_B2DS",1612432.3236,3408611.332,278974400000,"Combined",5021043.6556
2029,"SBTi_1.5C",1917909,2091515.1519,290030909091,"Combined",4009424.1519
2030,"ETP_B2DS",1501909.4489,3200951.536,2.82945e+11,"Combined",4702860.9849
2030,"SBTi_1.5C",1809000,1724999.9999,2.94867e+11,"Combined",3533999.9999
2031,"ETP_B2DS",1429814.3663,2986975.276,286625500000,"Combined",4416789.6423
2031,"SBTi_1.5C",1696700,1571933.3333,300837900000,"Combined",3268633.3333
2032,"ETP_B2DS",1357719.2845,2773672.896,2.90306e+11,"Combined",4131392.1805
2032,"SBTi_1.5C",1584400,1414233.3334,307808800000,"Combined",2998633.3334
2033,"ETP_B2DS",1285624.2024,2561008.938,293986500000,"Combined",3846633.1404
2033,"SBTi_1.5C",1472100,1251900,313779700000,"Combined",2724000
2034,"ETP_B2DS",1213529.1202,2348950.3959,2.97668e+11,"Combined",3562479.5161
2034,"SBTi_1.5C",1359800,1084933.3334,320750600000,"Combined",2444733.3334
2035,"ETP_B2DS",1141434.038,2137466.4931,301348500000,"Combined",3278900.5311
2035,"SBTi_1.5C",1247500,913333.3334,326721500000,"Combined",2160833.3334
2036,"ETP_B2DS",1089265.2439,1939877.263,3.05029e+11,"Combined",3029142.5069
2036,"SBTi_1.5C",1135200,737100.0001,333692400000,"Combined",1872300.0001
2037,"ETP_B2DS",1037096.4499,1744374.7289,308710500000,"Combined",2781471.1788
2037,"SBTi_1.5C",1022900,556233.3334,339663300000,"Combined",1579133.3334
2038,"ETP_B2DS",984927.6558,1550847.1215,3.12391e+11,"Combined",2535774.7773
2038,"SBTi_1.5C",910600,370733.3334,346634200000,"Combined",1281333.3334
2039,"ETP_B2DS",932758.8617,1359190.5113,316071500000,"Combined",2291949.373
2039,"SBTi_1.5C",798300,180600.00003,352605100000,"Combined",978900.00003
2040,"ETP_B2DS",880590.0676,1169308.1367,3.19753e+11,"Combined",2049898.2043
2040,"SBTi_1.5C",686000,-14166.666666,3.59576e+11,"Combined",671833.333334
2041,"ETP_B2DS",841448.1608,1000343.7664,323407500000,"Combined",1841791.9272
2041,"SBTi_1.5C",629600,-20066.666672,365534100000,"Combined",609533.333328
2042,"ETP_B2DS",802306.254,833998.3462,3.27062e+11,"Combined",1636304.6002
2042,"SBTi_1.5C",573200,-26100.000003,372492200000,"Combined",547099.999997
2043,"ETP_B2DS",763164.3471,670132.5658,330717500000,"Combined",1433296.9129
2043,"SBTi_1.5C",516800,-32266.66667,378450300000,"Combined",484533.33333
2044,"ETP_B2DS",724022.4404,508616.8235,3.34372e+11,"Combined",1232639.2639
2044,"SBTi_1.5C",460400,-38566.66667,384408400000,"Combined",421833.33333
2045,"ETP_B2DS",684880.5335,349330.3946,338026500000,"Combined",1034210.9281
2045,"SBTi_1.5C",404000,-45000,391366500000,"Combined",359000
2046,"ETP_B2DS",647950.429,246809.63566,3.41682e+11,"Combined",894760.06466
2046,"SBTi_1.5C",347600,-51566.66667,397324600000,"Combined",296033.33333
2047,"ETP_B2DS",611020.3244,146337.92123,345336500000,"Combined",757358.24563
2047,"SBTi_1.5C",291200,-58266.66667,404282700000,"Combined",232933.33333
2048,"ETP_B2DS",574090.2199,47804.92538,3.48991e+11,"Combined",621895.14528
2048,"SBTi_1.5C",234800,-65100,410240800000,"Combined",169700
2049,"ETP_B2DS",537160.1154,-48891.89702,352646500000,"Combined",488268.21838
2049,"SBTi_1.5C",178400,-72066.66667,417198900000,"Combined",106333.33333
2050,"ETP_B2DS",500230.0108,-143847.98451,3.56301e+11,"Combined",356382.02629
2050,"SBTi_1.5C",122000,-79166.66667,4.23157e+11,"Combined",42833.33333
2014,"SBTi_1.5C",1971720,3245752.187,1.78e+11,"Residential",5217472.187
2015,"SBTi_1.5C",1983376,3198979.413,1.8e+11,"Residential",5182355.413
2016,"SBTi_1.5C",1995032,3148072.39,1.83e+11,"Residential",5143104.39
2017,"SBTi_1.5C",2006688,3093236.177,1.85e+11,"Residential",5099924.177
2018,"SBTi_1.5C",2018344,3034662.493,1.88e+11,"Residential",5053006.493
2019,"SBTi_1.5C",2030000,3080896.684,1.9e+11,"Residential",5110896.684
2020,"SBTi_1.5C",1968000,2831749.881,1.93e+11,"Residential",4799749.881
2021,"SBTi_1.5C",1911273,2737752.335,1.98e+11,"Residential",4649025.335
2022,"SBTi_1.5C",1851909,2559959.873,2.03e+11,"Residential",4411868.873
2023,"SBTi_1.5C",1792545,2378146.936,2.07e+11,"Residential",4170691.936
2024,"SBTi_1.5C",1733182,2192400.726,2.11e+11,"Residential",3925582.726
2025,"SBTi_1.5C",1673818,2002802.951,2.15e+11,"Residential",3676620.951
2026,"SBTi_1.5C",1614455,1817144.519,2.19e+11,"Residential",3431599.519
2027,"SBTi_1.5C",1555091,1625781.802,2.23e+11,"Residential",3180872.802
2028,"SBTi_1.5C",1495727,1428874.178,2.27e+11,"Residential",2924601.178
2029,"SBTi_1.5C",1436364,1226570.405,2.32e+11,"Residential",2662934.405
2030,"SBTi_1.5C",1377000,1019009.488,2.36e+11,"Residential",2396009.488
2031,"SBTi_1.5C",1293500,934410.0083,2.41e+11,"Residential",2227910.0083
2032,"SBTi_1.5C",1210000,845731.3177,2.47e+11,"Residential",2055731.3177
2033,"SBTi_1.5C",1126500,752989.4428,2.52e+11,"Residential",1879489.4428
2034,"SBTi_1.5C",1043000,656199.3795,2.58e+11,"Residential",1699199.3795
2035,"SBTi_1.5C",959500,555375.1736,2.63e+11,"Residential",1514875.1736
2036,"SBTi_1.5C",876000,450618.0472,2.69e+11,"Residential",1326618.0472
2037,"SBTi_1.5C",792500,341813.184,2.74e+11,"Residential",1134313.184
2038,"SBTi_1.5C",709000,228966.1663,2.8e+11,"Residential",937966.1663
2039,"SBTi_1.5C",625500,112082.2795,2.85e+11,"Residential",737582.2795
2040,"SBTi_1.5C",542000,-8833.468446,2.91e+11,"Residential",533166.531554
2041,"SBTi_1.5C",498600,-12569.01584,2.96e+11,"Residential",486030.98416
2042,"SBTi_1.5C",455200,-16420.16547,3.02e+11,"Residential",438779.83453
2043,"SBTi_1.5C",411800,-20386.96891,3.07e+11,"Residential",391413.03109
2044,"SBTi_1.5C",368400,-24469.47551,3.12e+11,"Residential",343930.52449
2045,"SBTi_1.5C",325000,-28667.73254,3.18e+11,"Residential",296332.26746
2046,"SBTi_1.5C",281600,-32980.16237,3.23e+11,"Residential",248619.83763
2047,"SBTi_1.5C",238200,-37408.54693,3.29e+11,"Residential",200791.45307
2048,"SBTi_1.5C",194800,-41953.0716,3.34e+11,"Residential",152846.9284
2049,"SBTi_1.5C",151400,-46613.91546,3.4e+11,"Residential",104786.08454
2050,"SBTi_1.5C",108000,-51391.25153,3.45e+11,"Residential",56608.74847
2014,"SBTi_1.5C",918896,2828449.526,4.0143e+10,"Commercial",3747345.526
2015,"SBTi_1.5C",930516,2746675.886,42048400000,"Commercial",3677191.886
2016,"SBTi_1.5C",942137,2665035.447,43953800000,"Commercial",3607172.447
2017,"SBTi_1.5C",953758,2583521.602,45859200000,"Commercial",3537279.602
2018,"SBTi_1.5C",965379,2502128.176,47764600000,"Commercial",3467507.176
2019,"SBTi_1.5C",977000,2509103.316,4.967e+10,"Commercial",3486103.316
2020,"SBTi_1.5C",892000,2278250.119,4.9825e+10,"Commercial",3170250.119
2021,"SBTi_1.5C",877909,2176793.12,51342181818,"Commercial",3054702.12
2022,"SBTi_1.5C",828364,2012312.854,52178272727,"Commercial",2840676.854
2023,"SBTi_1.5C",778818,1848822.761,53014363636,"Commercial",2627640.761
2024,"SBTi_1.5C",729273,1686235.637,53850454545,"Commercial",2415508.637
2025,"SBTi_1.5C",679727,1524469.776,54686545455,"Commercial",2204196.776
2026,"SBTi_1.5C",630182,1355734.269,55522636364,"Commercial",1985916.269
2027,"SBTi_1.5C",580636,1189672.744,56358727273,"Commercial",1770308.744
