Model,Region,2020,2030,2040,2050
IMAGE,Africa,15165917743,20262134779,27642324905,37286530418
IMAGE,Asia Pacific Developed,902108949.7,1003695620,1087679329,1152460179
IMAGE,Eastern Asia,18283934139,20825709736,23521539481,26480854186
IMAGE,Europe and Eurasia,28540305707,28710696585,28410494265,27181452843
IMAGE,Latin America and Caribbean,9809402386,11273042341,13292355318,15189969374
IMAGE,Middle East,5946992656,7002418521,8575878866,10096482722
IMAGE,North America,26994741931,25356218398,23487268147,20628012353
IMAGE,South East Asia and Developing Pacific,9627302741,12010441597,14088310310,16492225534
IMAGE,Southern Asia,17176240258,20804334440,25337401959,29711746875
RECC LED,Africa,21516033710,30695020373,42253515696,54357986971
RECC LED,Asia Pacific Developed,1189594219,1217479164,1211985538,1197574278
RECC LED,Eastern Asia,59033286987,56190964441,51153263307,45906346944
RECC LED,Europe and Eurasia,26558750803,26177429871,24973880237,23878461342
RECC LED,Latin America and Caribbean,18521643200,18916105446,18886340810,18906101358
RECC LED,Middle East,7217843680,8847064100,10414344136,11728574251
RECC LED,North America,32659499429,30943275325,28435562684,24012706167
RECC LED,South East Asia and Developing Pacific,9627302741,13779421367,17635017800,20360772264
RECC LED,Southern Asia,38823008802,50710565198,61935871456,70119722625
SDS,Africa,22763176726,30002037058,39788093925,50066775222
SDS,Asia Pacific Developed,1249073930,1597941403,1953938223,2317224202
SDS,Eastern Asia,60021167508,67018244762,71235819476,72198578560
SDS,Europe and Eurasia,26576088134,30878273991,35597712189,39877702678
SDS,Latin America and Caribbean,9264845420,11628859297,16155463254,20944067361
SDS,Middle East,6208265079,7856150225,10894493904,15022444973
SDS,North America,33005996093,35964484468,38753787428,40973272647
SDS,South East Asia and Developing Pacific,12206044547,15641505336,19605410851,23414888104
SDS,Southern Asia,27293751643,45249427407,72915412305,96860294813
