Model,Region,2020,2030,2040,2050
IMAGE,Africa,2.44787E+11,2.51047E+11,2.1699E+11,1.51107E+11
IMAGE,Asia Pacific Developed,6.29873E+11,5.14658E+11,2.82599E+11,1.6181E+11
IMAGE,Eastern Asia,1.70337E+12,2.2237E+12,1.19285E+12,7.80505E+11
IMAGE,Europe and Eurasia,2.032E+12,1.85055E+12,1.51906E+12,1.10767E+12
IMAGE,Latin America and Caribbean,2.55864E+11,2.31302E+11,1.84513E+11,1.57485E+11
IMAGE,Middle East,4.95428E+11,4.55965E+11,4.47396E+11,4.36026E+11
IMAGE,North America,1.70213E+12,1.31915E+12,9.46809E+11,4.78723E+11
IMAGE,South East Asia and Developing Pacific,4.13745E+11,4.44641E+11,2.95588E+11,1.11317E+11
IMAGE,Southern Asia,3.97381E+11,4.6269E+11,5.43619E+11,3.6317E+11
RECC LED,Africa,1.38278E+11,80884805093,40463391597,21263657459
RECC LED,Asia Pacific Developed,1.67576E+11,69040665703,30320770743,17996189600
RECC LED,Eastern Asia,1.18303E+12,4.61431E+11,1.71809E+11,83450210379
RECC LED,Europe and Eurasia,1.60622E+12,8.69732E+11,3.78362E+11,2.21775E+11
RECC LED,Latin America and Caribbean,2.18094E+11,82404195201,46747914955,25883081454
RECC LED,Middle East,1.99919E+11,1.15507E+11,61998765846,30968923905
RECC LED,North America,9.78723E+11,3.61702E+11,1.59574E+11,72243027600
RECC LED,South East Asia and Developing Pacific,2.94807E+11,1.4966E+11,59292296369,27566069975
RECC LED,Southern Asia,1.94471E+11,1.62328E+11,52052936455,15962444236
SDS,Africa,3.5766E+11,3.19359E+11,2.76825E+11,3.48852E+11
SDS,Asia Pacific Developed,6.48513E+11,3.33007E+11,1.46839E+11,62215108272
SDS,Eastern Asia,2.09116E+12,1.58555E+12,6.28331E+11,2.15989E+11
SDS,Europe and Eurasia,1.99783E+12,1.24636E+12,7.09923E+11,3.73457E+11
SDS,Latin America and Caribbean,2.99815E+11,2.03634E+11,1.3216E+11,76728679638
SDS,Middle East,7.51611E+11,6.22262E+11,4.25479E+11,2.73657E+11
SDS,North America,1.81915E+12,9.04255E+11,3.61702E+11,51789531381
SDS,South East Asia and Developing Pacific,5.95305E+11,5.24474E+11,3.0108E+11,2.38074E+11
SDS,Southern Asia,6.43174E+11,6.1487E+11,3.09568E+11,1.25248E+11
