YEAR,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Croatia,Switzerland,Norway
2020,23.0992659,44.36484199,33.9721841,19.23377771,58.73357592,17.04235854,92.70880267,31.86392094,17.8332666,32.89948106,29.85851293,25.20852318,38.04514983,17.2861291,26.54868063,30.5772391,33.78729707,15.36586322,27.09948649,68.15400096,11.02045601,28.5814373,20.44250271,27.48490105,13.37929907,6.629033548,27.63358917,22.77530757,18.55878483,14.817946
2021,21.83426435,41.59156081,32.1155282,18.51139944,55.09617099,16.0939042,88.36823348,30.47830726,16.91313677,31.11694,28.58499302,23.89418585,35.97299266,16.3982471,24.7321024,28.8086979,31.8698176,14.70918245,25.61801827,64.14548699,10.56892201,26.9195034,19.26888334,25.97672469,12.74858774,6.299371122,25.97618808,21.61926845,17.4850637,12.88026347
2022,20.32619211,38.40414929,29.87999319,17.49620123,50.84339869,14.98083236,82.93459662,28.70672532,15.78614244,29.0072581,26.88873537,22.22705328,33.47537858,15.30306648,22.72196515,26.76352329,29.79019743,13.88830531,23.83306006,59.52069687,9.978070842,24.98384172,17.84692939,24.16725458,11.95944829,5.89184652,24.03972198,20.11238801,16.21142478,10.83762302
2023,18.87741057,35.38129593,27.72205161,16.46560557,46.76899301,13.92076715,77.64116056,26.9756671,14.69280935,27.00210881,25.18275364,20.57981644,31.06844325,14.23359853,20.8524277,24.83204315,27.89284788,13.08051758,22.10918807,55.15462796,9.395627827,23.14123167,16.47372017,22.42299833,11.18969402,5.495182798,22.1819066,18.65708984,14.98580358,9.065374401
2024,17.48374688,32.51063254,25.64249288,15.43403671,42.87521723,12.90750121,72.47765224,25.28436252,13.63505342,25.08228315,23.47938162,18.97604824,28.75442896,13.19272935,19.10733047,22.99959671,26.10730109,12.33140081,20.44742816,51.0152554,8.823041401,21.38178738,15.16304601,20.7431881,10.43983497,5.111066992,20.40129675,17.25429821,13.80916745,7.535172486
2025,16.2022363,29.89367275,23.7294333,14.46475684,39.30914135,11.98041582,67.69132814,23.71988963,12.66010158,23.30359187,21.8708967,17.49452101,26.63223491,12.22758444,17.53832184,21.33363668,24.48044263,11.59767429,18.91833042,47.25468199,8.291543582,19.77232713,13.9726519,19.19800189,9.74612616,4.757211741,18.77037705,15.96343351,12.72856185,6.273644716
2026,14.84790997,27.18298406,21.71318249,13.40018966,35.62157394,11.00198929,62.50364635,22.01139666,11.62577992,21.46085054,20.11899459,15.94494793,24.39705201,11.20287621,15.93665581,19.58316488,22.70646494,10.79644787,17.30724535,43.31357873,7.709186611,18.08486848,12.74610808,17.56930227,8.999841983,4.382393709,17.07233867,14.60389308,11.60151673,5.121979945
2027,13.60002194,24.70762079,19.85837174,12.40540633,32.2527575,10.10217565,57.67742943,20.42315959,10.67176821,19.73999203,18.4768726,14.52517667,22.34492353,10.25516568,14.48865516,17.97916207,21.04679908,10.01990366,15.8252772,39.70938053,7.167380289,16.53719853,11.6366932,16.07031972,8.308930545,4.037345452,15.51470511,13.35336899,10.5683088,4.189013279
2028,12.39617374,22.3483474,18.0733933,11.42729173,29.04945129,9.234070931,52.95190019,18.86297734,9.749554205,18.06957138,16.86843699,13.16886713,20.37075715,9.339419039,13.12026266,16.43442998,19.40219151,9.237992837,14.39959252,36.24811268,6.634939631,15.05183694,10.58749772,14.62706387,7.636778267,3.704462865,14.02798887,12.15059823,9.580564746,3.408266293
2029,11.23513459,20.09976804,16.35607177,10.46619609,26.00708468,8.395883257,48.32510728,17.32835592,8.857935032,16.44655004,15.29899128,11.87389713,18.47016952,8.455946135,11.82442425,14.94341822,17.77191916,8.458180112,13.02858484,32.91764565,6.111263923,13.62604454,9.593120658,13.23783888,6.982909933,3.383183665,12.61100816,10.9942592,8.637178142,2.759690722
2030,10.07156138,17.87764093,14.63936951,9.480155508,23.01807276,7.553360264,43.59976543,15.74694577,7.961080977,14.81578652,13.71212163,10.59093523,16.5652745,7.571976713,10.54870932,13.44217096,16.08657427,7.636513018,11.6590181,29.57495323,5.571604084,12.20335108,8.610204415,11.84877188,6.319279512,3.060351154,11.21208937,9.839655592,7.703631605,2.208909113
2031,9.079081349,15.99028569,13.17672643,8.634152509,20.48154698,6.834677345,39.54960451,14.3935387,7.194855515,13.39395841,12.35057309,9.5542312,14.94287925,6.817053815,9.470205306,12.16172056,14.63448449,6.914647947,10.49250965,26.73409799,5.110339032,10.99333176,7.781977715,10.66431012,5.753451546,2.785061675,10.02183163,8.856186315,6.90991471,1.80170861
2032,8.077802322,14.11223835,11.70399452,7.759293321,17.9763572,6.106319455,35.38317074,12.98421148,6.418346213,11.95665317,10.97137224,8.507412338,13.30191312,6.058032787,8.39695486,10.85917171,13.1295349,6.169402372,9.318960484,23.85183427,4.629880692,9.775830646,6.951122288,9.471804419,5.173985837,2.506027727,8.839534536,7.867359079,6.119899884,1.456605038
2033,7.111867004,12.32064228,10.28516836,6.897966968,15.60238508,5.400730585,31.29912182,11.58828895,5.666223573,10.55601326,9.637931083,7.495964802,11.71439422,5.328119912,7.372057975,9.592764225,11.64797374,5.433707945,8.189271788,21.0557121,4.153930901,8.603067323,6.151529883,8.323110989,4.607861715,2.235659359,7.714073347,6.915978854,5.366333772,1.178563438
