YEAR,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Croatia,Switzerland,Norway
2020,30.94638494,44.36484199,32.07606219,19.23377771,62.08414904,17.34266442,92.70880267,31.86392094,19.36183231,42.31776387,36.01979337,22.53624157,38.04514983,17.2861291,26.54868063,30.5772391,33.78729707,15.36586322,30.71275135,84.19023648,11.02045601,28.5814373,26.12097568,27.48490105,13.37929907,6.80047407,32.71329307,21.62610804,21.13818564,17.201252
2021,29.07104712,41.73738684,30.48583266,18.57630308,58.33852774,16.42578775,88.67806529,30.58516861,18.37771688,39.83280435,34.39374712,21.51199507,36.09911918,16.45574172,24.81881673,28.90970536,31.98155779,14.76075498,29.01684004,78.96830426,10.60597818,27.01388707,24.50643411,26.06780285,12.79328613,6.47960047,30.68647439,20.63507203,19.9008462,14.93178774
2022,26.89615397,38.67416203,28.5162952,17.6192139,53.92741645,15.33491498,83.51769501,28.9085572,17.16708288,36.9540209,32.26848983,20.15266724,33.71073801,15.41065962,22.88171924,26.95169286,29.999647,13.98595151,26.97935071,73.02476612,10.04822488,25.15949867,22.59220776,24.33717024,12.04353304,6.076681574,28.33923127,19.2967095,18.43788413,12.54686603
2023,24.82505673,35.7554241,26.59939978,16.63971583,49.69072054,14.29194061,78.46215212,27.26091265,15.9911492,34.23453101,30.14233096,18.79153521,31.39696654,14.38410715,21.07292501,25.09462163,28.18779186,13.21883332,25.0133443,67.43707247,9.494978881,23.3859312,20.75686513,22.66010313,11.30801585,5.682810689,26.09437978,17.99376048,17.03157923,10.48094091
2024,22.85059876,32.97021472,24.73687677,15.6522179,45.63174612,13.29091238,73.50222282,25.64179151,14.85208008,31.64798605,28.03006544,17.45037248,29.16091208,13.37922659,19.37743867,23.32472742,26.47636344,12.50572199,23.11985563,62.16279125,8.947767139,21.68404814,19.01668143,21.03642139,10.58741629,5.299813506,23.94957335,16.72775164,15.68291472,8.700018519
2025,21.04528457,30.42331482,23.01518547,14.72103662,41.90820305,12.37288828,68.89065134,24.14014751,13.80144322,29.26272729,26.04152214,16.20269624,27.10409236,12.44422704,17.8490576,21.71161605,24.91417563,11.80315644,21.37848235,57.3836383,8.438449262,20.12264395,17.44249377,19.53814308,9.918803452,4.946197499,21.98909293,15.55724489,14.44516267,7.233666686
2026,19.16740864,27.76246624,21.17373477,13.6858526,38.04210747,11.39617208,63.83608832,22.48063183,12.68433078,26.81960464,23.89278864,14.87314822,24.91714416,11.44169719,16.2763907,20.00063541,23.19051745,11.02660468,19.54653728,52.41784823,7.873529724,18.47039859,15.83769666,17.94384163,9.191699065,4.568801793,19.95832279,14.30688353,13.15652199,5.897761152
2027,17.44846945,25.32376486,19.47013338,12.71476503,34.5036908,10.49526213,59.11575513,20.93246029,11.65309473,24.55084716,21.88508755,13.64596213,22.90214804,10.51090295,14.84996469,18.4275158,21.57165174,10.2697741,17.86245726,47.89158386,7.346116189,16.94959343,14.39235605,16.47107187,8.516133751,4.220469814,18.09979443,13.15046816,11.97607355,4.816936434
2028,15.80616093,22.98698344,17.81643352,11.75384296,31.13043117,9.621974413,54.46507659,19.40201394,10.65492436,22.3656727,19.92748001,12.46070388,20.95288071,9.606306316,13.49519295,16.90406736,19.95663693,9.501981715,16.24382314,43.56738835,6.824542535,15.48196474,13.03426951,15.04505317,7.855010144,3.882988554,16.33153461,12.02890193,10.84881023,3.913827713
2029,14.23768411,20.74768511,16.21139494,10.80357447,27.91827885,8.774695069,49.88286965,17.88693638,9.688579764,20.25928164,18.02588109,11.31637843,19.0655564,8.728524003,12.20558518,15.42512009,18.3447979,8.730829992,14.68870963,39.4288396,6.308260836,14.0652808,11.75567232,13.66456131,7.208004402,3.555858275,14.65160556,10.94148545,9.7733697,3.164730532
2030,12.68473697,18.51968831,14.58910436,9.820620399,24.75238004,7.917763689,45.16558251,16.31247258,8.714911647,18.16308218,16.11361459,10.16663492,17.1601903,7.84391236,10.92754965,13.92492541,16.66429831,7.910766385,13.13702133,35.30347468,5.771699491,12.64161527,10.50263658,12.27430191,6.546226507,3.225300381,12.99954472,9.844106003,8.710614792,2.529655841
2031,11.36452708,16.62368844,13.20332423,8.976166158,22.06292424,7.185865811,41.11623245,14.96369155,7.882748182,16.34142223,14.47532996,9.237963306,15.53479243,7.087089056,9.845336446,12.64346725,15.21418162,7.188549059,11.81579673,31.80285579,5.312768361,11.42879656,9.448769477,11.0867418,5.981355669,2.943173107,11.59570651,8.907038219,7.807396637,2.06050913
2032,10.04913398,14.72372296,11.79190685,8.09550423,19.39793938,6.439340965,36.91632686,13.54681858,7.03792545,14.5180085,12.82489414,8.285610101,13.87828626,6.320527918,8.760795704,11.32970064,13.69843888,6.436723158,10.48817648,28.2766919,4.830493858,10.19941831,8.401245015,9.882218595,5.39817513,2.655528698,10.20681772,7.954445171,6.909673537,1.663555594
2033,8.793182822,12.90055901,10.4193404,7.222645368,16.86552154,5.712382829,32.77233108,12.13373475,6.21845506,12.75599282,11.23638352,7.353771767,12.26577563,5.578907637,7.719051227,10.04428325,12.19622883,5.689465563,9.211425846,24.87608356,4.349451066,9.008002596,7.400794389,8.714869078,4.824747817,2.375510539,8.889102089,7.029640749,6.054383762,1.344166662
2034,7.594634153,11.15146089,9.084489178,6.357817966,14.46145369,5.004328246,28.68432364,10.72283953,5.423943295,11.05386169,9.710557172,6.44160116,10.69520106,4.862189489,6.71686874,8.785818873,10.70976723,4.961271998,7.983797043,21.59217385,3.86896772,7.852484689,6.442177869,7.583884804,4.260232348,2.10286676,7.640326391,6.131903064,5.240167052,1.089408111
2035,6.45581665,9.480333342,7.791601758,5.505227532,12.19000157,4.317434946,24.66972653,9.319187239,4.657199102,9.41581344,8.253112234,5.552365876,9.171227614,4.172998063,5.755240833,7.558554134,9.246359241,4.265631937,6.80823649,18.42977729,3.390674189,6.735569024,5.524619935,6.492930782,3.70622449,1.838515928,6.462087613,5.264092315,4.46859316,0.891241894
2036,5.36012633,7.862750094,6.521719891,4.652992264,10.0186035,3.641611883,20.67005729,7.899972974,3.907634498,7.826705335,6.844533218,4.673338823,7.671283247,3.501905682,4.818588243,6.344630662,7.783905799,3.57494147,5.667502942,15.33816147,2.906637147,5.640338991,4.631944975,5.426509686,3.153702993,1.578664317,5.336713326,4.413583064,3.728554804,0.738431233
2037,4.329287685,6.331942491,5.303116868,3.822517045,7.989056139,2.992054876,16.78110739,6.499981157,3.192003529,6.314310372,5.514509869,3.82518469,6.229112888,2.863655023,3.925841411,5.172325032,6.356740353,2.921388154,4.585359001,12.38141441,2.42877695,4.590730405,3.781304249,4.408117943,2.615391689,1.329254458,4.286385616,3.599231318,3.034583203,0.625991101
2038,3.437665671,5.001477481,4.232206038,3.084525769,6.243354151,2.420505567,13.32785296,5.242344809,2.565829825,4.995810056,4.361145908,3.076952439,4.959796818,2.307051899,3.145046973,4.136939533,5.085119083,2.358788798,3.643118732,9.788520039,1.999523985,3.669122594,3.037167317,3.516713726,2.136648797,1.11020539,3.383800207,2.885063314,2.436080355,0.551292995
2039,2.71257883,3.915006665,3.349529623,2.4711997,4.830795638,1.948926991,10.45661425,4.186251302,2.051713523,3.916708599,3.421380254,2.458582317,3.912305057,1.851484778,2.503747577,3.279999252,4.024038891,1.892194949,2.872581457,7.654114861,1.639367152,2.9099974,2.425700668,2.784523715,1.73818129,0.929911958,2.653994365,2.297670925,1.950711907,0.505039439
2040,2.12241515,3.026878911,2.620930316,1.961084722,3.687346898,1.559319084,8.065275619,3.297294383,1.629229027,3.028590855,2.655021116,1.947080046,3.046736497,1.478348246,1.975979576,2.570002928,3.136101197,1.516563144,2.241724366,5.893544924,1.336544307,2.284132921,1.922119246,2.182470798,1.405810874,0.781407456,2.063253318,1.813975283,1.556878157,0.476562243
