year,country,intensity,Reference_key,Scenario_key
2018,France,43.09949564,Osermeyer et al,Ostermeyer RS
2026,France,36.86353486,Osermeyer et al,Ostermeyer RS
2034,France,32.12358164,Osermeyer et al,Ostermeyer RS
2042,France,27.78701478,Osermeyer et al,Ostermeyer RS
2050,France,24.39755879,Osermeyer et al,Ostermeyer RS
2018,France,43.09949564,Osermeyer et al,Ostermeyer 2DS
2026,France,33.25176162,Osermeyer et al,Ostermeyer 2DS
2034,France,22.45524842,Osermeyer et al,Ostermeyer 2DS
2042,France,13.61214123,Osermeyer et al,Ostermeyer 2DS
2050,France,6.834022717,Osermeyer et al,Ostermeyer 2DS
2018,Germany,43.09949564,Osermeyer et al,Ostermeyer RS
2026,Germany,36.99607241,Osermeyer et al,Ostermeyer RS
2034,Germany,31.97773332,Osermeyer et al,Ostermeyer RS
2042,Germany,27.9037356,Osermeyer et al,Ostermeyer RS
2050,Germany,24.32588691,Osermeyer et al,Ostermeyer RS
2018,Germany,43.09949564,Osermeyer et al,Ostermeyer 2DS
2026,Germany,33.3669006,Osermeyer et al,Ostermeyer 2DS
2034,Germany,22.32830948,Osermeyer et al,Ostermeyer 2DS
2042,Germany,13.36139014,Osermeyer et al,Ostermeyer 2DS
2050,Germany,6.695019577,Osermeyer et al,Ostermeyer 2DS
2019,Poland,106,Osermeyer et al,Ostermeyer RS
2022,Poland,106.8850444,Osermeyer et al,Ostermeyer RS
2026,Poland,104.2998412,Osermeyer et al,Ostermeyer RS
2030,Poland,99.09639702,Osermeyer et al,Ostermeyer RS
2034,Poland,91.7987272,Osermeyer et al,Ostermeyer RS
2038,Poland,82.14344751,Osermeyer et al,Ostermeyer RS
2042,Poland,71.44074909,Osermeyer et al,Ostermeyer RS
2046,Poland,59.69124373,Osermeyer et al,Ostermeyer RS
2050,Poland,50.03412861,Osermeyer et al,Ostermeyer RS
2019,Poland,96.875,Osermeyer et al,Ostermeyer 2DS
2022,Poland,93.16850273,Osermeyer et al,Ostermeyer 2DS
2026,Poland,86.60077482,Osermeyer et al,Ostermeyer 2DS
2030,Poland,77.52011036,Osermeyer et al,Ostermeyer 2DS
2034,Poland,65.53471908,Osermeyer et al,Ostermeyer 2DS
2038,Poland,51.92230954,Osermeyer et al,Ostermeyer 2DS
2042,Poland,37.54868133,Osermeyer et al,Ostermeyer 2DS
2046,Poland,24.04069191,Osermeyer et al,Ostermeyer 2DS
2050,Poland,14.76138235,Osermeyer et al,Ostermeyer 2DS
2018,UK,43.09949564,Osermeyer et al,Ostermeyer RS
2026,UK,36.39512966,Osermeyer et al,Ostermeyer RS
2034,UK,30.80703386,Osermeyer et al,Ostermeyer RS
2042,UK,25.85969739,Osermeyer et al,Ostermeyer RS
2050,UK,22.51672369,Osermeyer et al,Ostermeyer RS
2018,UK,43.09949564,Osermeyer et al,Ostermeyer 2DS
2026,UK,32.56406338,Osermeyer et al,Ostermeyer 2DS
2034,UK,21.54974782,Osermeyer et al,Ostermeyer 2DS
2042,UK,12.78618371,Osermeyer et al,Ostermeyer 2DS
2050,UK,6.906970456,Osermeyer et al,Ostermeyer 2DS
