Year,Australia,Brazil,Canada,China,Hong Kong,India,Japan,Malaysia,Mexico,New Zealand,Philippines,Singapore,South Korea,USA
2020,2072626603,5211865655,3352257923,68911722641,159822992.5,17660700935,6883374143,1201788844,1381394057,271288636.3,624119583.7,193626098.3,2722073000,31865990534
2021,2108588558,5319313524,3414727432,70706551899,160893123.2,18065600638,6939102856,1228526535,1409872889,275995740.8,638005148.3,195477453.9,2744111265,32459815006
2022,2144692038,5427771421,3476876135,72460693117,161847425.7,18506866499,6990461034,1255682426,1438619428,280721369.4,652107894.7,197036105.6,2764421175,33050589952
2023,2180937041,5537239347,3538704033,74174146293,162727149.1,18984498517,7037632244,1283256516,1467633671,285465522.3,666427822.9,198382896,2783075323,33638315372
2024,2217323568,5647717300,3600211124,75846911428,163596560.2,19498496693,7080800053,1311248807,1496915621,290228199.4,680964932.9,199633836.7,2800146301,34222991264
2025,2253851618,5759205281,3661397410,77478988522,164499703.4,20048861026,7120148029,1339659297,1526465277,295009400.7,695719224.8,200875642.6,2815706702,34804617630
2026,2290521193,5871703290,3722262889,79070377574,165448225,20635591516,7155859740,1368487987,1556282638,299809126.2,710690698.4,202134576.2,2829829120,35383194469
2027,2327332290,5985211327,3782807563,80621078586,166420378.1,21258688164,7188118753,1397734877,1586367705,304627376,725879353.9,203390769.3,2842586146,35958721782
2028,2364284912,6099729392,3843031430,82131091556,167385882.3,21918150969,7217108635,1427399966,1616720478,309464149.9,741285191.1,204627453.2,2854050375,36531199568
2029,2401379057,6215257485,3902934492,83600416485,168300333,22613979932,7243012955,1457483256,1647340957,314319448,756908210.2,205811481.7,2864294399,37100627828
2030,2438614726,6331795606,3962516747,85029053373,169131544,23346175052,7266015278,1487984745,1678229141,319193270.4,772748411.1,206917734.3,2873390811,37667006560
2031,2475991919,6449343755,4021778197,86417002219,169871553.5,24114736330,7286299174,1518904434,1709385031,324085616.9,788805793.8,207947972.5,2881412203,38230335766
2032,2513510635,6567901932,4080718841,87764263025,170529212.7,24919663765,7304048210,1550242323,1740808627,328996487.7,805080358.3,208913223.4,2888431169,38790615446
2033,2551170875,6687470137,4139338679,89070835789,171110450.6,25760957357,7319445952,1581998411,1772499929,333925882.6,821572104.7,209811725.3,2894520302,39347845599
2034,2588972639,6808048370,4197637710,90336720512,171626003,26638617107,7332675969,1614172699,1804458937,338873801.8,838281032.8,210640900.9,2899752194,39902026225
2035,2626915926,6929636631,4255615936,91561917194,172085314.2,27552643014,7343921828,1646765188,1836685650,343840245.2,855207142.8,211399804,2904199439,40453157324
2036,2665000737,7052234920,4313273356,92746425835,172489252.2,28503035079,7353367097,1679775876,1869180070,348825212.8,872350434.5,212087064.5,2907934629,41001238897
2037,2703227072,7175843237,4370609970,93890246434,172837139.4,29489793301,7361195342,1713204763,1901942195,353828704.6,889710908.1,212702519.2,2911030357,41546270943
2038,2741594930,7300461581,4427625778,94993378993,173135879,30512917680,7367590132,1747051851,1934972025,358850720.6,907288563.5,213245613.5,2913559217,42088253463
2039,2780104312,7426089954,4484320780,96055823510,173393305.9,31572408217,7372735035,1781317138,1968269562,363891260.9,925083400.7,213716021.2,2915593800,42627186456
2040,2818755218,7552728355,4540694976,97077579986,173616767.7,32668264911,7376813616,1816000625,2001834805,368950325.3,943095419.7,214114133.8,2917206700,43163069922
2041,2857547648,7680376783,4596748366,98058648420,173809927.8,33800487763,7380009445,1851102312,2035667753,374027913.9,961324620.5,214439820.8,2918470511,43695903862
2042,2896481601,7809035240,4652480950,98999028814,173975496.6,34969076772,7382506088,1886622199,2069768407,379124026.8,979771003.2,214693963,2919457824,44225688275
2043,2935557078,7938703725,4707892728,99898721166,174118175.1,36174031938,7384487114,1922560285,2104136767,384238663.8,998434567.6,214880410,2920241233,44752423161
2044,2974774078,8069382237,4762983700,1.00758E+11,174242537,37415353262,7386136089,1958916571,2138772832,389371825.1,1017315314,215002130.7,2920893330,45276108521
2045,3014132603,8201070778,4817753866,1.01576E+11,174352139.8,38693040743,7387636581,1995691057,2173676603,394523510.6,1036413242,215062289.7,2921486709,45796744354
2046,3053632650,8333769346,4872203226,1.02354E+11,174449926.9,40007094382,7389172157,2032883743,2208848081,399693720.3,1055728352,215063920.9,2922093962,46314330660
2047,3093274222,8467477943,4926331780,1.03091E+11,174538481.5,41357514178,7390926386,2070494629,2244287264,404882454.1,1075260644,215007611.6,2922787683,46828867440
2048,3133057317,8602196567,4980139529,1.03787E+11,174619159,42744300132,7393082834,2108523714,2279994152,410089712.2,1095010117,214894177.4,2923640464,47340354693
2049,3172981936,8737925220,5033626471,1.04465E+11,174695266,44167452243,7395825070,2146970999,2315968747,415315494.6,1114976772,214742325.2,2924724898,47848792420
2050,3213048079,8874663900,5086792607,1.05121E+11,174767268.7,45626970511,7399336660,2185836484,2352211047,420559801.1,1135160610,214552601,2926113578,48354180619
