Year,Australia,Brazil,Canada,China,Hong Kong,India,Japan,Malaysia,Mexico,New Zealand,Philippines,Singapore,South Korea,USA
2020,63.12419702,8.487915147,19.02815207,22.35222947,57.5201484,26.59194344,32.49500135,39.77706397,11.618481,12.98549308,32.17531261,27.53570883,20.57833311,45.80475058
2021,59.09517172,7.965427286,17.79851225,21.01710314,54.03189815,24.82366501,30.65785784,37.22586024,10.99643589,12.20090678,30.0815054,26.04762551,19.47500855,42.74684662
2022,54.43547815,7.360539056,16.38844428,19.47166611,49.87779358,22.76713217,28.42779399,34.27841924,10.24548545,11.28449966,27.6734349,24.2180645,18.11625622,39.26195408
2023,49.91679473,6.783946704,15.04982846,18.01250689,45.85516247,20.78885989,26.25461825,31.46947181,9.520744398,10.39239403,25.38217011,22.42824037,16.7864203,35.9611139
2024,45.57766725,6.235441508,13.77651497,16.6307847,41.98221547,18.89766026,24.14929455,28.79840306,8.822534036,9.532619879,23.20687772,20.68765377,15.49260067,32.8286057
2025,41.59326064,5.735017517,12.58554803,15.37517258,38.41573562,17.16321731,22.20276982,26.36158555,8.180893946,8.741237554,21.22449049,19.07461748,14.29331795,29.90469649
2026,37.49804983,5.219716088,11.36237954,14.06393687,34.72646799,15.39627159,20.16871638,23.85656734,7.503938907,7.923264639,19.19215007,17.37782228,13.03071795,26.91282853
2027,33.76447455,4.750430776,10.24764839,12.86586599,31.35274975,13.79030788,18.3003858,21.57613668,6.881786385,7.175624328,17.34430664,15.81511248,11.86757895,24.19112522
2028,30.23498575,4.30548426,9.194375484,11.71809399,28.15025592,12.28140188,16.51561444,19.41612474,6.283168454,6.466356551,15.5971236,14.31626467,10.75146189,21.62563881
2029,26.90731339,3.883931862,8.201826256,10.61540596,25.11827935,10.86882177,14.81494965,17.3719627,5.707263609,5.795268568,13.94664199,12.88212097,9.683024175,19.21386408
2030,23.67182365,3.464733613,7.237346341,9.515553523,22.15537389,9.509359313,13.13962539,15.37075945,5.121956809,5.139925713,12.33448276,11.46182596,8.624229542,16.87702638
2031,20.93712832,3.10684289,6.422353757,8.579536066,19.64659531,8.363269866,11.71770682,13.67636011,4.619558964,4.585298129,10.9704973,10.25480404,7.724393714,14.9044704
2032,18.26893412,2.755411273,5.627665752,7.638373658,17.18600329,7.258928399,10.31125631,12.00774349,4.11551475,4.041719054,9.630462345,9.054097694,6.828649901,12.98670762
2033,15.76774125,2.424228976,4.883113186,6.704595436,14.86910309,6.235429297,8.977410277,10.43024885,3.631854856,3.530242687,8.366190581,7.909888001,5.974586578,11.19442507
2034,13.42630378,2.112518684,4.186495465,5.793714124,12.69024343,5.289348703,7.71368675,8.939934574,3.167923275,3.049590856,7.174309742,6.820358148,5.16087053,9.521796013
2035,11.24479725,1.820513813,3.537817512,4.928007549,10.6507782,4.419955973,6.521797376,7.538149075,2.724716893,2.600030511,6.05564648,5.787398359,4.388948247,7.968257668
2036,9.189422998,1.543759378,2.927003636,4.094245767,8.719635625,3.613727431,5.38383297,6.203854308,2.295420066,2.17468522,4.993326332,4.795479309,3.647198299,6.509394181
2037,7.294247188,1.287143764,2.364120784,3.311517667,6.930385629,2.882414023,4.320947363,4.961489469,1.888771114,1.780921987,4.006451285,3.863748949,2.950014024,5.168535521
2038,5.682142719,1.067990511,1.885553474,2.635644438,5.402339264,2.269196438,3.407302846,3.896304,1.535514058,1.444966692,3.161928474,3.059173273,2.347734809,4.030930737
2039,4.390102096,0.891890644,1.502180917,2.087379674,4.173498592,1.784175337,2.668547825,3.036917336,1.247639242,1.175113704,2.481712508,2.406103221,1.858775837,3.12120799
2040,3.354047231,0.750348188,1.194919711,1.642290294,3.184634863,1.400857547,2.070684951,2.343277468,1.012823143,0.958260168,1.933659595,1.875433445,1.4614031,2.393391082
2041,2.779294173,0.672666481,1.024506333,1.398034276,2.637035669,1.187618346,1.741291992,1.959270031,0.886380892,0.838591395,1.630109096,1.584215299,1.243794893,1.989142995
2042,2.345283154,0.614279862,0.895883364,1.213211801,2.22296828,1.027974449,1.491995667,1.668412239,0.79150833,0.748369508,1.400407037,1.36370733,1.079216903,1.684138101
2043,1.964729057,0.563027821,0.783172028,1.049189606,1.858500792,0.890458632,1.27123347,1.411758808,0.706988897,0.669123962,1.198128542,1.167573889,0.932853723,1.417351481
2044,1.634043278,0.518481958,0.685294256,0.905032766,1.540577552,0.773198527,1.077520866,1.187485418,0.632483192,0.600171051,1.021736236,0.994714194,0.803900694,1.186079569
2045,1.325137198,0.476703485,0.593926595,0.767891482,1.242050542,0.666299555,0.893998983,0.976636629,0.560860994,0.535540826,0.85634012,0.82983404,0.680851623,0.970742071
2046,1.10320189,0.447085175,0.528338507,0.669602496,1.027309383,0.5906277,0.762077195,0.825068758,0.510691761,0.489353134,0.737603074,0.711375892,0.592713148,0.816118666
2047,0.890534459,0.418570224,0.46553568,0.573580828,0.820367551,0.52013662,0.633667308,0.679113359,0.460988048,0.444923613,0.623593577,0.595167512,0.506200887,0.66847281
2048,0.702590188,0.393408368,0.41008206,0.487409681,0.636615752,0.459575054,0.518792818,0.549829504,0.416333346,0.405623776,0.522879586,0.490586138,0.428397725,0.538360689
2049,0.530052429,0.370285669,0.359218179,0.4068135,0.467005649,0.40572096,0.411780086,0.430961273,0.374261647,0.369465745,0.430556172,0.39241957,0.355389755,0.419305131
2050,0.365665842,0.348167657,0.310797051,0.328389585,0.304434462,0.356163705,0.308092574,0.317647531,0.332708461,0.334889972,0.342827912,0.296461101,0.283991549,0.306287644
