m flag,b_y_int_C1,growth_C1,b_y_int_C2,growth_c2,budget_C1,budget_C2
default,1.1,0.13,1.1,0.09,11255,11004
default,0.9,0.13,0.9,0.09,9218,9011
default,0.9,0.13,1.1,0.13,9218,11255
default,0.9,0.09,1.1,0.09,9011,11044
strict,1.1,0.13,1.1,0.09,11255,11242
strict,0.9,0.13,0.9,0.09,9218,9206
strict,0.9,0.13,1.1,0.13,9218,11255
strict,0.9,0.09,1.1,0.09,9206,11242
default,1.3,0.2,1.3,0.05,13313,11862
strict,1.3,0.2,1.3,0.05,13313,13266
default,0.7,0.2,0.7,0.05,7204,6401
strict,0.7,0.2,0.7,0.05,7204,7157
default,0.7,0.2,1.3,0.2,7204,11862
strict,0.7,0.2,1.3,0.2,7204,13266
default,0.7,0.05,1.3,0.05,6401,11862
strict,0.7,0.05,1.3,0.05,7157,13266
