Year,CRE_FA _m2,Resi_FA_m2,CRREM_intensity
2020,1784524178,3938871000,41.51697016
2021,1786399742,3976781250,39.22765827
2022,1784514885,4008281250,36.52206477
2023,1779396019,4032968750,33.94557378
2024,1771536949,4053468750,31.47230028
2025,1764742255,4071625962,29.17807727
2026,1749410378,4084281250,26.7906114
2027,1735967506,4096656250,24.55952764
2028,1721433662,4108281250,22.39171817
2029,1706139687,4119343750,20.28602724
2030,1685470524,4132136577,18.16926629
2031,1674431541,4141593750,16.39392948
2032,1658516075,4152656250,14.60254286
2033,1642837776,4163781250,12.86832535
2034,1627564491,4175281250,11.19127959
2035,1612932266,4188319164,9.577091961
2036,1598741310,4197718750,8.012660966
2037,1585364113,4208218750,6.523242791
2038,1572737312,4218156250,5.210248271
2039,1560865807,4227281250,4.117524899
2040,1554923577,4237097832,3.212904079
2041,1539244942,4242468750,2.715873928
2042,1529342323,4248093750,2.32694925
2043,1519888481,4252718750,1.975906559
2044,1510725212,4256406250,1.661944675
2045,1497390191,4260438482,1.359307905
2046,1492474953,4260406250,1.13595996
2047,1482908714,4261968750,0.915020166
2048,1472674629,4263218750,0.713345552
2049,1461451561,4265218750,0.521993045
2050,1449968948,4270609140,0.333804743
