Reference_key,Scenario_key,Region,Sector,Year,Activity_millions_m2
IPCC_normative,IMAGE,North America,Combined,2020,"26,995"
IPCC_normative,IMAGE,North America,Combined,2030,"25,356"
IPCC_normative,IMAGE,North America,Combined,2040,"23,487"
IPCC_normative,IMAGE,North America,Combined,2050,"20,628"
IPCC_normative,IMAGE,Europe and Eurasia,Combined,2020,"28,540"
IPCC_normative,IMAGE,Europe and Eurasia,Combined,2030,"28,711"
IPCC_normative,IMAGE,Europe and Eurasia,Combined,2040,"28,410"
IPCC_normative,IMAGE,Europe and Eurasia,Combined,2050,"27,181"
IPCC_normative,IMAGE,Africa,Combined,2020,"15,166"
IPCC_normative,IMAGE,Africa,Combined,2030,"20,262"
IPCC_normative,IMAGE,Africa,Combined,2040,"27,642"
IPCC_normative,IMAGE,Africa,Combined,2050,"37,287"
IPCC_normative,IMAGE,Asia Pacific Developed,Combined,2020,902
IPCC_normative,IMAGE,Asia Pacific Developed,Combined,2030,"1,004"
IPCC_normative,IMAGE,Asia Pacific Developed,Combined,2040,"1,088"
IPCC_normative,IMAGE,Asia Pacific Developed,Combined,2050,"1,152"
IPCC_normative,IMAGE,Latin America and Caribbean,Combined,2020,"9,809"
IPCC_normative,IMAGE,Latin America and Caribbean,Combined,2030,"11,273"
IPCC_normative,IMAGE,Latin America and Caribbean,Combined,2040,"13,292"
IPCC_normative,IMAGE,Latin America and Caribbean,Combined,2050,"15,190"
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Combined,2020,"9,627"
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Combined,2030,"12,010"
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Combined,2040,"14,088"
IPCC_normative,IMAGE,Southeast Asia and Developing Pacific,Combined,2050,"16,492"
IPCC_normative,IMAGE,Eastern Asia,Combined,2020,"18,284"
IPCC_normative,IMAGE,Eastern Asia,Combined,2030,"20,826"
IPCC_normative,IMAGE,Eastern Asia,Combined,2040,"23,522"
IPCC_normative,IMAGE,Eastern Asia,Combined,2050,"26,481"
IPCC_normative,IMAGE,Middle East,Combined,2020,"5,947"
IPCC_normative,IMAGE,Middle East,Combined,2030,"7,002"
IPCC_normative,IMAGE,Middle East,Combined,2040,"8,576"
IPCC_normative,IMAGE,Middle East,Combined,2050,"10,096"
IPCC_normative,IMAGE,Southern Asia,Combined,2020,"17,176"
IPCC_normative,IMAGE,Southern Asia,Combined,2030,"20,804"
IPCC_normative,IMAGE,Southern Asia,Combined,2040,"25,337"
IPCC_normative,IMAGE,Southern Asia,Combined,2050,"29,712"
IPCC_normative,RECC,North America,Residential,2020,"32,659"
IPCC_normative,RECC,North America,Residential,2030,"30,943"
IPCC_normative,RECC,North America,Residential,2040,"28,436"
IPCC_normative,RECC,North America,Residential,2050,"24,013"
IPCC_normative,RECC,Europe and Eurasia,Residential,2020,"26,559"
IPCC_normative,RECC,Europe and Eurasia,Residential,2030,"26,177"
