year,Sector_activity,Sector_power_consumption,Sector_Scope_1_emissions,Sector_Scope_2_emissions,Sector,Scenario
2014,1.78E+11,20427,1971720,3245752.187,Residential,SBTi_1.5C
2015,1.80E+11,21081,1983376,3198979.413,Residential,SBTi_1.5C
2016,1.83E+11,21736,1995032,3148072.39,Residential,SBTi_1.5C
2017,1.85E+11,22390,2006688,3093236.177,Residential,SBTi_1.5C
2018,1.88E+11,23045,2018344,3034662.493,Residential,SBTi_1.5C
2019,1.90E+11,23699,2030000,3080896.684,Residential,SBTi_1.5C
2020,1.93E+11,23275,1968000,2831749.881,Residential,SBTi_1.5C
2021,1.98E+11,24157,1911273,2737752.335,Residential,SBTi_1.5C
2022,2.03E+11,24381,1851909,2559959.873,Residential,SBTi_1.5C
2023,2.07E+11,24602,1792545,2378146.936,Residential,SBTi_1.5C
2024,2.11E+11,24820,1733182,2192400.726,Residential,SBTi_1.5C
2025,2.15E+11,25035,1673818,2002802.951,Residential,SBTi_1.5C
2026,2.19E+11,25356,1614455,1817144.519,Residential,SBTi_1.5C
2027,2.23E+11,25670,1555091,1625781.802,Residential,SBTi_1.5C
2028,2.27E+11,25980,1495727,1428874.178,Residential,SBTi_1.5C
2029,2.32E+11,26284,1436364,1226570.405,Residential,SBTi_1.5C
2030,2.36E+11,26583,1377000,1019009.488,Residential,SBTi_1.5C
2031,2.41E+11,27106,1293500,934410.0083,Residential,SBTi_1.5C
2032,2.47E+11,27628,1210000,845731.3177,Residential,SBTi_1.5C
2033,2.52E+11,28149,1126500,752989.4428,Residential,SBTi_1.5C
2034,2.58E+11,28669,1043000,656199.3795,Residential,SBTi_1.5C
2035,2.63E+11,29188,959500,555375.1736,Residential,SBTi_1.5C
2036,2.69E+11,29711,876000,450618.0472,Residential,SBTi_1.5C
2037,2.74E+11,30234,792500,341813.184,Residential,SBTi_1.5C
2038,2.80E+11,30757,709000,228966.1663,Residential,SBTi_1.5C
2039,2.85E+11,31279,625500,112082.2795,Residential,SBTi_1.5C
2040,2.91E+11,31800,542000,-8833.468446,Residential,SBTi_1.5C
2041,2.96E+11,32320,498600,-12569.01584,Residential,SBTi_1.5C
2042,3.02E+11,32840,455200,-16420.16547,Residential,SBTi_1.5C
2043,3.07E+11,33360,411800,-20386.96891,Residential,SBTi_1.5C
2044,3.12E+11,33881,368400,-24469.47551,Residential,SBTi_1.5C
2045,3.18E+11,34401,325000,-28667.73254,Residential,SBTi_1.5C
2046,3.23E+11,34920,281600,-32980.16237,Residential,SBTi_1.5C
2047,3.29E+11,35440,238200,-37408.54693,Residential,SBTi_1.5C
