year,Sector_activity,Sector_power_consumption,Sector_Scope_1_emissions,Sector_Scope_2_emissions
2014,177724222222,20427,1971720,3245752
2015,180191777778,21081,1983376,3198979
2016,182659333333,21736,1995032,3148072
2017,185126888889,22390,2006688,3093236
2018,187594444444,23045,2018344,3034662
2019,190062000000,23699,2030000,3080897
2020,192558000000,23275,1968000,2831750
2021,198368000000,24157,1911273,2737752
2022,202521000000,24381,1851909,2559960
2023,206674000000,24602,1792545,2378147
2024,210827000000,24820,1733182,2192401
2025,214980000000,25035,1673818,2002803
2026,219133000000,25356,1614455,1817145
2027,223286000000,25670,1555091,1625782
2028,227439000000,25980,1495727,1428874
2029,231592000000,26284,1436364,1226570
2030,235745000000,26583,1377000,1019009
2031,241240100000,27106,1293500,934410
2032,246735200000,27628,1210000,845731
2033,252230300000,28149,1126500,752989
2034,257725400000,28669,1043000,656199
2035,263220500000,29188,959500,555375
2036,268715600000,29711,876000,450618
2037,274210700000,30234,792500,341813
2038,279705800000,30757,709000,228966
2039,285200900000,31279,625500,112082
2040,290696000000,31800,542000,-8833
2041,296144700000,32320,498600,-12569
2042,301593400000,32840,455200,-16420
2043,307042100000,33360,411800,-20387
2044,312490800000,33881,368400,-24469
2045,317939500000,34401,325000,-28668
2046,323388200000,34920,281600,-32980
2047,328836900000,35440,238200,-37409
2048,334285600000,35960,194800,-41953
2049,339734300000,36480,151400,-46614
2050,345183000000,37002,108000,-51391
