Reference,Model / Scenario,Region,Buildings segment,Emissions included in system boundary,Base year,Base year activity (square meters),Base year scope 1 emissions (tCO2),Base year scope 2 emissions (tCO2),Target year,Target year activity (square meters),Target year scope 1 emissions (tCO2),Target year scope 2 emissions (tCO2)
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",IMAGE Lifestyle and Renewable Scenario,Africa,Residential,Operational only,2020,15165917740,67000000,127000000,2050,37286530420,11666117,2639873
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",RECC LED and 2C Policy Scenario,Africa,Residential,Operational only,2020,21516033710,88000000,54000000,2050,54357986970,17007392,1678010
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",Sustainable Development Scenario (2 C),Africa,Residential,Operational only,2020,22763176730,82400000,164600000,2050,50066775220,15664768,3112645
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",IMAGE Lifestyle and Renewable Scenario,Asia Pacific Developed,Residential,Operational only,2020,902108950,74000000,229000000,2050,1152460179,360579,58044
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",RECC LED and 2C Policy Scenario,Asia Pacific Developed,Residential,Operational only,2020,1189594219,91000000,89000000,2050,1197574278,374694,33935
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",Sustainable Development Scenario (2 C),Asia Pacific Developed,Residential,Operational only,2020,1249073930,86000000,207000000,2050,2317224202,725007,231722
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",IMAGE Lifestyle and Renewable Scenario,Eastern Asia,Residential,Operational only,2020,18283934140,358000000,871000000,2050,26480854190,8285264,50377
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",RECC LED and 2C Policy Scenario,Eastern Asia,Residential,Operational only,2020,59033286990,682000000,514000000,2050,45906346940,14363064,8833430
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",Sustainable Development Scenario (2 C),Eastern Asia,Residential,Operational only,2020,60021167510,370000000,1138000000,2050,72198578560,22589312,241629
"IPCC Sixth Assessment Report: Chapter 9, Buildings; Section 9.3.2, Drivers of CO2 emissions and their climate impact",IMAGE Lifestyle and Renewable Scenario,Europe and Eurasia,Residential,Operational only,2020,28540305710,637000000,722000000,2050,27181452840,8504465,355015
